metric,dataset,value
RMSE,train,0.39119353132155954
RMSE,train,0.3926217319397595
RMSE,train,0.3876235259267
RMSE,train,0.38460884199798706
RMSE,train,0.38882216999536434
RMSE,train,0.3898008984885684
RMSE,train,0.39121158301451603
RMSE,train,0.389024063039305
RMSE,train,0.39401379399456327
RMSE,train,0.38615501124388474
RMSE,test,0.5815709248508651
RMSE,test,0.5827886060534371
RMSE,test,0.5864531610300082
RMSE,test,0.5866803287720245
RMSE,test,0.5763864969952982
RMSE,test,0.5473484198543836
RMSE,test,0.5395425148183615
RMSE,test,0.6035021526634485
RMSE,test,0.5527433718474397
RMSE,test,0.5864050705748866
R2,train,0.6072548134369788
R2,train,0.6044996493690267
R2,train,0.6098206005766089
R2,train,0.6164828455789704
R2,train,0.6117314631899184
R2,train,0.6119260319096685
R2,train,0.6100360320727195
R2,train,0.6059051702604649
R2,train,0.6048462833891044
R2,train,0.6188264809776315
R2,test,0.12033504836101461
R2,test,0.11537009395775921
R2,test,0.18935395516893017
R2,test,0.18001384235431994
R2,test,0.1387973792666075
R2,test,0.18601960277134255
R2,test,0.18362706762898529
R2,test,0.1460578381478762
R2,test,0.14136649725851302
R2,test,0.06701792969897524
MAE,train,0.3219769937309735
MAE,train,0.3220785744201435
MAE,train,0.32061944651949736
MAE,train,0.31600929599517263
MAE,train,0.321857226606115
MAE,train,0.3222938030770153
MAE,train,0.32194773337264093
MAE,train,0.3192411858629746
MAE,train,0.32549191035312763
MAE,train,0.31728681741056136
MAE,test,0.4710838710216411
MAE,test,0.5011943077197893
MAE,test,0.4837360259101769
MAE,test,0.474294157181675
MAE,test,0.4652215850734155
MAE,test,0.45087247215999365
MAE,test,0.4615609813260692
MAE,test,0.49728163410071585
MAE,test,0.46645413722173273
MAE,test,0.47472866619022164
Fit_time,train,1.1109964847564697
Fit_time,train,1.0903337001800537
Fit_time,train,1.1190314292907715
Fit_time,train,1.1710443496704102
Fit_time,train,1.12984037399292
Fit_time,train,1.121309757232666
Fit_time,train,1.132345199584961
Fit_time,train,1.1402702331542969
Fit_time,train,1.087352991104126
Fit_time,train,1.1478757858276367
Fit_time,test,0.004999637603759766
Fit_time,test,0.00500035285949707
Fit_time,test,0.004999876022338867
Fit_time,test,0.004999876022338867
Fit_time,test,0.005002260208129883
Fit_time,test,0.004999399185180664
Fit_time,test,0.004004955291748047
Fit_time,test,0.004998683929443359
Fit_time,test,0.00500035285949707
Fit_time,test,0.005000591278076172
