metric,dataset,value
RMSE,train,0.5086068030116513
RMSE,train,0.5358519104881077
RMSE,train,0.5086811558962575
RMSE,train,0.49519962926085803
RMSE,train,0.5089697343150779
RMSE,train,0.5285426040609024
RMSE,train,0.5139193790715352
RMSE,train,0.5236962660945741
RMSE,train,0.5181573469788688
RMSE,train,0.5282200067601445
RMSE,test,0.9399211455304195
RMSE,test,0.8003328510096552
RMSE,test,1.2099235966102981
RMSE,test,1.085329448151332
RMSE,test,1.0811318746439278
RMSE,test,0.8382050606695205
RMSE,test,0.9460008495278607
RMSE,test,0.8876743964657186
RMSE,test,1.1306425160094498
RMSE,test,0.947451229199063
R2,train,0.9523681402206421
R2,train,0.948058009147644
R2,train,0.9524095058441162
R2,train,0.9557337164878845
R2,train,0.9519056081771851
R2,train,0.9485624432563782
R2,train,0.9521096348762512
R2,train,0.9510392546653748
R2,train,0.9502332210540771
R2,train,0.9495768547058105
R2,test,0.8503257632255554
R2,test,0.872865617275238
R2,test,0.749957799911499
R2,test,0.7605337500572205
R2,test,0.8140743374824524
R2,test,0.8813116550445557
R2,test,0.8262367248535156
R2,test,0.816242516040802
R2,test,0.7950164079666138
R2,test,0.8199750185012817
MAE,train,0.3543951213359833
MAE,train,0.3698441684246063
MAE,train,0.35057178139686584
MAE,train,0.3413375914096832
MAE,train,0.34747257828712463
MAE,train,0.3637602627277374
MAE,train,0.35586023330688477
MAE,train,0.3596319854259491
MAE,train,0.3584079146385193
MAE,train,0.3625108599662781
MAE,test,0.5784702897071838
MAE,test,0.5340733528137207
MAE,test,0.6820247173309326
MAE,test,0.6475076079368591
MAE,test,0.6583940386772156
MAE,test,0.5486242771148682
MAE,test,0.562792181968689
MAE,test,0.5828788876533508
MAE,test,0.697406530380249
MAE,test,0.5956487655639648
