metric,dataset,value
RMSE,train,0.8212439304966269
RMSE,train,0.8161632697191793
RMSE,train,0.806474496508583
RMSE,train,0.8055332515012105
RMSE,train,0.8237495151652489
RMSE,train,0.8196799371196296
RMSE,train,0.8128343739163919
RMSE,train,0.8213675319164274
RMSE,train,0.8114836870843353
RMSE,train,0.8144632219010883
RMSE,test,0.9793041777809665
RMSE,test,0.9356489181104607
RMSE,test,1.1437330788529272
RMSE,test,1.0527957513643553
RMSE,test,1.1105285789566706
RMSE,test,0.9340910552029825
RMSE,test,1.0597330252555452
RMSE,test,0.9060099177494784
RMSE,test,1.0592974371749124
RMSE,test,0.925764360924914
R2,train,0.8758126023594998
R2,train,0.8795010267120292
R2,train,0.8803781838393323
R2,train,0.8828670242333332
R2,train,0.8740202686171985
R2,train,0.8762888844629024
R2,train,0.8801984903811914
R2,train,0.8795618157594821
R2,train,0.8779393758552524
R2,train,0.8801209512807042
R2,test,0.8375201637672977
R2,test,0.8262409140889948
R2,test,0.7765672906604673
R2,test,0.7746750298508571
R2,test,0.8038259604118667
R2,test,0.8526039306931388
R2,test,0.7819440443697135
R2,test,0.8085728299067543
R2,test,0.8200697004503855
R2,test,0.8281221087074578
MAE,train,0.5328050797102735
MAE,train,0.5273656533839836
MAE,train,0.5236669991138492
MAE,train,0.5148240499580599
MAE,train,0.5308702297412838
MAE,train,0.5265749361702602
MAE,train,0.5253599790251854
MAE,train,0.5259035592298429
MAE,train,0.5235920449828225
MAE,train,0.5273850094505866
MAE,test,0.6019289712015025
MAE,test,0.602373699038542
MAE,test,0.6753370681231897
MAE,test,0.6673837804854911
MAE,test,0.6515098713476944
MAE,test,0.6030751692127112
MAE,test,0.6272223590752611
MAE,test,0.6253349074555623
MAE,test,0.6667073805185635
MAE,test,0.6092257858811297
