metric,dataset,value
RMSE,train,1.2986174218924864
RMSE,train,1.3371209151059487
RMSE,train,1.3192221298093152
RMSE,train,1.3005348865797248
RMSE,train,1.3206345656301726
RMSE,train,1.257952711926816
RMSE,train,1.3227146124539282
RMSE,train,1.2851647373835193
RMSE,train,1.3075258822824274
RMSE,train,1.4592078266333357
RMSE,test,1.9689176578886005
RMSE,test,1.9175470514008093
RMSE,test,2.3062385124602747
RMSE,test,1.9228000430542584
RMSE,test,2.1691110711649353
RMSE,test,1.9409639710546853
RMSE,test,1.9291056632276136
RMSE,test,1.8315921737175458
RMSE,test,2.117938707251884
RMSE,test,1.794354271205966
R2,train,0.6894756555557251
R2,train,0.6765772104263306
R2,train,0.6799152493476868
R2,train,0.694679319858551
R2,train,0.6762008666992188
R2,train,0.7086273431777954
R2,train,0.6827581524848938
R2,train,0.7051461935043335
R2,train,0.6831041574478149
R2,train,0.615200400352478
R2,test,0.3432208299636841
R2,test,0.2701833248138428
R2,test,0.09154003858566284
R2,test,0.24839556217193604
R2,test,0.2515795826911926
R2,test,0.3635820746421814
R2,test,0.2774181365966797
R2,test,0.2176605463027954
R2,test,0.28072458505630493
R2,test,0.3542930483818054
MAE,train,0.9301801919937134
MAE,train,0.9720118045806885
MAE,train,0.948387861251831
MAE,train,0.929205596446991
MAE,train,0.9440823793411255
MAE,train,0.8904081583023071
MAE,train,0.9517411589622498
MAE,train,0.9208307266235352
MAE,train,0.9395233392715454
MAE,train,1.084947943687439
MAE,test,1.5661594867706299
MAE,test,1.5484209060668945
MAE,test,1.7072765827178955
MAE,test,1.4753838777542114
MAE,test,1.6013339757919312
MAE,test,1.4445431232452393
MAE,test,1.4732131958007812
MAE,test,1.4735602140426636
MAE,test,1.622300624847412
MAE,test,1.3708194494247437
