metric,dataset,value
RMSE,train,1.2680895321822703
RMSE,train,1.3471729241142099
RMSE,train,1.33131456531966
RMSE,train,1.3738551575639801
RMSE,train,1.3806287257229297
RMSE,train,1.3874551456521376
RMSE,train,1.3369301571375305
RMSE,train,1.2766305408064333
RMSE,train,1.464004479625498
RMSE,train,1.3556054126103534
RMSE,test,2.309124003025051
RMSE,test,2.197156464302324
RMSE,test,2.337167575474294
RMSE,test,2.2350154572364134
RMSE,test,2.5338402199173493
RMSE,test,2.38887857710907
RMSE,test,2.1732714438061196
RMSE,test,1.9764006175216455
RMSE,test,2.5257619067087664
RMSE,test,2.077395777285739
R2,train,0.7039036750793457
R2,train,0.6716961860656738
R2,train,0.6740204095840454
R2,train,0.6592828035354614
R2,train,0.646113395690918
R2,train,0.6455475091934204
R2,train,0.6759026050567627
R2,train,0.7090492248535156
R2,train,0.6027162075042725
R2,train,0.6679015159606934
R2,test,0.0966443419456482
R2,test,0.041827619075775146
R2,test,0.06700986623764038
R2,test,-0.015505194664001465
R2,test,-0.021269798278808594
R2,test,0.03595876693725586
R2,test,0.08292907476425171
R2,test,0.08906453847885132
R2,test,-0.022947311401367188
R2,test,0.13451892137527466
MAE,train,0.9074190855026245
MAE,train,0.9598481059074402
MAE,train,0.9535562992095947
MAE,train,0.9965667128562927
MAE,train,0.9879224896430969
MAE,train,0.9929302334785461
MAE,train,0.9548710584640503
MAE,train,0.9215516448020935
MAE,train,1.0686382055282593
MAE,train,0.9699268937110901
MAE,test,1.8651158809661865
MAE,test,1.7531471252441406
MAE,test,1.703275442123413
MAE,test,1.6710466146469116
MAE,test,1.8732447624206543
MAE,test,1.7823892831802368
MAE,test,1.6446633338928223
MAE,test,1.5970968008041382
MAE,test,1.9046745300292969
MAE,test,1.6228086948394775
Fit_time,train,79.70383715629578
Fit_time,train,76.50072050094604
Fit_time,train,74.37245678901672
Fit_time,train,74.6634612083435
Fit_time,train,74.09936165809631
Fit_time,train,75.32805228233337
Fit_time,train,75.94400811195374
Fit_time,train,75.10289883613586
Fit_time,train,51.22699213027954
Fit_time,train,72.07356238365173
Fit_time,test,0.043337106704711914
Fit_time,test,0.0390012264251709
Fit_time,test,0.0390009880065918
Fit_time,test,0.04200243949890137
Fit_time,test,0.04000043869018555
Fit_time,test,0.03752899169921875
Fit_time,test,0.0410008430480957
Fit_time,test,0.036005258560180664
Fit_time,test,0.03154778480529785
Fit_time,test,0.03752756118774414
