metric,dataset,value
RMSE,train,0.7987614863178408
RMSE,train,0.8099778642667337
RMSE,train,0.7988352710442492
RMSE,train,0.8084224179939665
RMSE,train,0.8034202231610549
RMSE,train,0.8110342025611064
RMSE,train,0.791066457966948
RMSE,train,0.8039988367750083
RMSE,train,0.7875234202230775
RMSE,train,0.7894630004743206
RMSE,test,0.9528553292733307
RMSE,test,0.8556997852242259
RMSE,test,1.2929975730782384
RMSE,test,1.0176473599346862
RMSE,test,1.1214539547604092
RMSE,test,1.0153430933895682
RMSE,test,1.0593808620121246
RMSE,test,0.927896009242092
RMSE,test,1.1112810747135482
RMSE,test,0.9824491614804983
R2,train,0.8825190597745178
R2,train,0.8813205418067978
R2,train,0.8826336550698844
R2,train,0.8820252872613077
R2,train,0.8801616412135375
R2,train,0.8788848555266221
R2,train,0.8865292020305438
R2,train,0.8846015495658407
R2,train,0.8850410058896865
R2,train,0.8873674559261993
R2,test,0.8461780924372821
R2,test,0.854666902539936
R2,test,0.7144430021229329
R2,test,0.7894691734976441
R2,test,0.7999470546145904
R2,test,0.8258461365139869
R2,test,0.7820889460220601
R2,test,0.7992126770705588
R2,test,0.8019766987090398
R2,test,0.8064294545040632
MAE,train,0.5381186703656486
MAE,train,0.5418615189254172
MAE,train,0.5339482064553411
MAE,train,0.5392256567879472
MAE,train,0.5385235340096827
MAE,train,0.5444900747793829
MAE,train,0.5340169933060391
MAE,train,0.5352079156357372
MAE,train,0.5311553500152854
MAE,train,0.528670148927845
MAE,test,0.6201484224779821
MAE,test,0.5743466973762756
MAE,test,0.7480955607562746
MAE,test,0.6979899523468415
MAE,test,0.6981203552271187
MAE,test,0.6532571895912611
MAE,test,0.6385789809793223
MAE,test,0.6347843092932389
MAE,test,0.7127483839767885
MAE,test,0.645764881765577
Fit_time,train,8.238507986068726
Fit_time,train,8.034075260162354
Fit_time,train,7.791632413864136
Fit_time,train,7.666648626327515
Fit_time,train,7.80332612991333
Fit_time,train,7.842179536819458
Fit_time,train,7.802982330322266
Fit_time,train,8.27224087715149
Fit_time,train,8.061927318572998
Fit_time,train,8.203487634658813
Fit_time,test,0.013003349304199219
Fit_time,test,0.011998653411865234
Fit_time,test,0.012508392333984375
Fit_time,test,0.013517618179321289
Fit_time,test,0.012003421783447266
Fit_time,test,0.011999368667602539
Fit_time,test,0.013008832931518555
Fit_time,test,0.013001680374145508
Fit_time,test,0.014999866485595703
Fit_time,test,0.013254404067993164
