metric,dataset,value
RMSE,train,0.8148939852926887
RMSE,train,0.8368165006220118
RMSE,train,0.8078874585354273
RMSE,train,0.804638761532917
RMSE,train,0.8095651287454634
RMSE,train,0.8326892606640182
RMSE,train,0.803655714847749
RMSE,train,0.8333727518988585
RMSE,train,0.8081866955824415
RMSE,train,0.8181331760461942
RMSE,test,1.03198035986104
RMSE,test,0.8539413336331193
RMSE,test,1.2409504036488932
RMSE,test,1.2024690141523262
RMSE,test,1.1719212484494683
RMSE,test,1.0343027719163107
RMSE,test,1.052935011069293
RMSE,test,0.9078459773672599
RMSE,test,1.096425499029348
RMSE,test,0.9753326583156661
R2,train,0.8777256380277023
R2,train,0.8733253465840298
R2,train,0.879958656256056
R2,train,0.8831270162305052
R2,train,0.8783214795790949
R2,train,0.8723308286126379
R2,train,0.8828888507272256
R2,train,0.876015404488929
R2,train,0.8789292055243914
R2,train,0.8790381723313233
R2,test,0.8195706758441699
R2,test,0.8552636039378795
R2,test,0.7369694231972128
R2,test,0.7060531144754448
R2,test,0.7815364867184525
R2,test,0.8192814003642792
R2,test,0.7847326579849
R2,test,0.8077961765291735
R2,test,0.8072356517992356
R2,test,0.8092236065790941
MAE,train,0.5350707875893608
MAE,train,0.5493208026380225
MAE,train,0.5290395228734102
MAE,train,0.5297697496271331
MAE,train,0.5289606774780516
MAE,train,0.5450830077977882
MAE,train,0.5321183039118899
MAE,train,0.5423645830460927
MAE,train,0.5327722173040181
MAE,train,0.5372835592571561
MAE,test,0.661463715198781
MAE,test,0.5694346931426896
MAE,test,0.7316623289089418
MAE,test,0.7453446425771346
MAE,test,0.6926610764351497
MAE,test,0.660656598804976
MAE,test,0.631237145327486
MAE,test,0.6188990768306682
MAE,test,0.6979761288307162
MAE,test,0.6347585144917709
Fit_time,train,0.64882493019104
Fit_time,train,0.6640238761901855
Fit_time,train,0.6630892753601074
Fit_time,train,0.695124626159668
Fit_time,train,0.6849009990692139
Fit_time,train,0.7107384204864502
Fit_time,train,0.7554073333740234
Fit_time,train,0.6967954635620117
Fit_time,train,0.6826214790344238
Fit_time,train,0.700653076171875
Fit_time,test,0.005508899688720703
Fit_time,test,0.005002498626708984
Fit_time,test,0.004999876022338867
Fit_time,test,0.0049991607666015625
Fit_time,test,0.005116939544677734
Fit_time,test,0.006512880325317383
Fit_time,test,0.006011962890625
Fit_time,test,0.006508827209472656
Fit_time,test,0.005509614944458008
Fit_time,test,0.005000114440917969
