metric,dataset,value
RMSE,train,0.76750631818774
RMSE,train,0.7745217142454163
RMSE,train,0.7436056442231895
RMSE,train,0.738654179588003
RMSE,train,0.7468909901016094
RMSE,train,0.7611832132312621
RMSE,train,0.7697702811976346
RMSE,train,0.7613343895890252
RMSE,train,0.7591788856501553
RMSE,train,0.7596558331111007
RMSE,test,1.2129170722278158
RMSE,test,1.0056856686047684
RMSE,test,1.3446365277608492
RMSE,test,1.2927884940546717
RMSE,test,1.2316872635362708
RMSE,test,1.1794858400678916
RMSE,test,1.066619224877995
RMSE,test,1.0597619047609408
RMSE,test,1.205194836452714
RMSE,test,1.0749413339826037
R2,train,0.8915331321556068
R2,train,0.8914833319731387
R2,train,0.8983015179249637
R2,train,0.9015094525999757
R2,train,0.896432194279058
R2,train,0.8933161901531297
R2,train,0.8925564254484973
R2,train,0.8965239049417301
R2,train,0.8931672911193376
R2,train,0.8957120607023833
R2,test,0.7507549878379223
R2,test,0.7992543208219567
R2,test,0.6911787348108738
R2,test,0.660237040214033
R2,test,0.758685756142941
R2,test,0.7649864307255483
R2,test,0.7791009594320144
R2,test,0.738088671548332
R2,test,0.7670927624005115
R2,test,0.7682666035682577
MAE,train,0.5302622210100173
MAE,train,0.5325060540704659
MAE,train,0.5101930194002151
MAE,train,0.5062348778105015
MAE,train,0.5077989307747239
MAE,train,0.5210866128971989
MAE,train,0.5295473705738228
MAE,train,0.5174643628607737
MAE,train,0.5275025563745493
MAE,train,0.5193520267682918
MAE,test,0.7943186920017702
MAE,test,0.6990541446716562
MAE,test,0.7840506641403625
MAE,test,0.8415742557811455
MAE,test,0.7624080867483717
MAE,test,0.7502909271745791
MAE,test,0.6725158435395291
MAE,test,0.7607274188826948
MAE,test,0.7880038139822464
MAE,test,0.7176693887613865
Fit_time,train,1.0780041217803955
Fit_time,train,1.0607240200042725
Fit_time,train,1.073718547821045
Fit_time,train,1.0241904258728027
Fit_time,train,1.0327141284942627
Fit_time,train,1.0877082347869873
Fit_time,train,1.0561907291412354
Fit_time,train,1.0877017974853516
Fit_time,train,1.0748112201690674
Fit_time,train,1.1097147464752197
Fit_time,test,0.004999399185180664
Fit_time,test,0.004000663757324219
Fit_time,test,0.004999876022338867
Fit_time,test,0.0060040950775146484
Fit_time,test,0.004000663757324219
Fit_time,test,0.0039997100830078125
Fit_time,test,0.005003213882446289
Fit_time,test,0.0040013790130615234
Fit_time,test,0.005000114440917969
Fit_time,test,0.003999948501586914
