metric,dataset,value
RMSE,train,0.5520768454763807
RMSE,train,0.5613005857882338
RMSE,train,0.5582984208039999
RMSE,train,0.5515317355356651
RMSE,train,0.5513830403628379
RMSE,train,0.5760789046397593
RMSE,train,0.5562866297357626
RMSE,train,0.5510691435082994
RMSE,train,0.5523358449331762
RMSE,train,0.5595903014662905
RMSE,test,1.047024283649753
RMSE,test,0.812343377260099
RMSE,test,1.156023804298091
RMSE,test,1.1248575085658112
RMSE,test,1.033892086318182
RMSE,test,0.8430423601506422
RMSE,test,0.9454503751759975
RMSE,test,0.9032043721553119
RMSE,test,1.0457717596576486
RMSE,test,0.8621577635506602
R2,train,0.9438781153885902
R2,train,0.9430071670144389
R2,train,0.9426726436815689
R2,train,0.9450897720892597
R2,train,0.9435560833851601
R2,train,0.9388939716909591
R2,train,0.9438880434833565
R2,train,0.945787264204244
R2,train,0.9434513220773368
R2,train,0.9434098702246484
R2,test,0.8142718354035914
R2,test,0.8690212105908205
R2,test,0.77173940659338
R2,test,0.7427732691734662
R2,test,0.8299672892711266
R2,test,0.8799378075870045
R2,test,0.8264388607150809
R2,test,0.8097565390873861
R2,test,0.8246352584553065
R2,test,0.8509291980341787
MAE,train,0.366108025968508
MAE,train,0.3654669314763508
MAE,train,0.36136063481574965
MAE,train,0.364559132224319
MAE,train,0.35696696410250595
MAE,train,0.3759237159570171
MAE,train,0.3651153270380112
MAE,train,0.3581044112124695
MAE,train,0.35868689076225524
MAE,train,0.36298134465854315
MAE,test,0.6229758482599947
MAE,test,0.5292432346308305
MAE,test,0.6559283867884979
MAE,test,0.6333936129906458
MAE,test,0.636693924717658
MAE,test,0.535671933396508
MAE,test,0.5852604722374428
MAE,test,0.586878578486768
MAE,test,0.6476556863450884
MAE,test,0.5708750153888605
Fit_time,train,4.817212104797363
Fit_time,train,4.971494913101196
Fit_time,train,4.958187580108643
Fit_time,train,4.909869909286499
Fit_time,train,4.849765300750732
Fit_time,train,4.802473545074463
Fit_time,train,4.8235228061676025
Fit_time,train,5.036384344100952
Fit_time,train,4.911604881286621
Fit_time,train,4.970339059829712
Fit_time,test,0.009000539779663086
Fit_time,test,0.008002519607543945
Fit_time,test,0.009004592895507812
Fit_time,test,0.00800013542175293
Fit_time,test,0.007999897003173828
Fit_time,test,0.008004426956176758
Fit_time,test,0.008000373840332031
Fit_time,test,0.00800013542175293
Fit_time,test,0.008000850677490234
Fit_time,test,0.007997751235961914
