metric,dataset,value
RMSE,train,0.7684084162225641
RMSE,train,0.7804360007192896
RMSE,train,0.7597848462876302
RMSE,train,0.7683825326961916
RMSE,train,0.7693674526476755
RMSE,train,0.7888956076001521
RMSE,train,0.7847511656779168
RMSE,train,0.7778642589422411
RMSE,train,0.778696174840068
RMSE,train,0.7792032934736999
RMSE,test,1.006942597214574
RMSE,test,0.823078130875981
RMSE,test,1.2401309609180362
RMSE,test,1.1109151561357247
RMSE,test,1.041548108893388
RMSE,test,0.9460986629449927
RMSE,test,0.9721032782645036
RMSE,test,0.9586496175515569
RMSE,test,1.0464660994684538
RMSE,test,0.9954407441993003
R2,train,0.8912780065643617
R2,train,0.8898197270583582
R2,train,0.8938279090268827
R2,train,0.8934220900057624
R2,train,0.8901049947961932
R2,train,0.8854067099062448
R2,train,0.8883337049008025
R2,train,0.8919818411360756
R2,train,0.8876036827727511
R2,train,0.8902759344093222
R2,test,0.8282195701944329
R2,test,0.8655366865136128
R2,test,0.7373166849890408
R2,test,0.7491102847323309
R2,test,0.8274397641242983
R2,test,0.8487900628404188
R2,test,0.816515310770597
R2,test,0.7856825751670073
R2,test,0.8244023144261714
R2,test,0.80127617998632
MAE,train,0.5174648323234902
MAE,train,0.5221402500995477
MAE,train,0.5092985117311466
MAE,train,0.5126981582468357
MAE,train,0.5120246411843176
MAE,train,0.5261205972482065
MAE,train,0.5279908585657161
MAE,train,0.517553154020783
MAE,train,0.521593799931788
MAE,train,0.520943127326794
MAE,test,0.6382913845632732
MAE,test,0.5517321786367003
MAE,test,0.6892347753141015
MAE,test,0.707094899160081
MAE,test,0.6533989917672917
MAE,test,0.6150362828606891
MAE,test,0.6065671707339604
MAE,test,0.6707637815609123
MAE,test,0.6670982445086125
MAE,test,0.6323130251057557
