metric,dataset,value
RMSE,train,0.5524522102277343
RMSE,train,0.570229007835374
RMSE,train,0.5571269382525552
RMSE,train,0.5624394574944137
RMSE,train,0.5638227753258934
RMSE,train,0.5687300022276617
RMSE,train,0.5548992631283116
RMSE,train,0.559799117486671
RMSE,train,0.5591841249474171
RMSE,train,0.5592346750616224
RMSE,test,0.9468013243858995
RMSE,test,0.7774718708551125
RMSE,test,1.1074764375510167
RMSE,test,1.0410464873437204
RMSE,test,1.1549097673030464
RMSE,test,0.9152665180973826
RMSE,test,0.9728774797739159
RMSE,test,0.9281797982045011
RMSE,test,1.0747241515100823
RMSE,test,0.9190232006955663
R2,train,0.9438017733393655
R2,train,0.9411796144275
R2,train,0.9429129722801647
R2,train,0.9428963599059356
R2,train,0.9409804948270287
R2,train,0.9404430579179496
R2,train,0.9441675784395317
R2,train,0.9440559948396388
R2,train,0.9420403618298883
R2,train,0.9434817747931022
R2,test,0.8481265104618482
R2,test,0.8800249184213541
R2,test,0.7905085136563246
R2,test,0.7796762468015191
R2,test,0.7878328391415806
R2,test,0.8584849508957539
R2,test,0.8162229330082058
R2,test,0.799089840159787
R2,test,0.8147908336228129
R2,test,0.8306161297476844
MAE,train,0.37201495117337297
MAE,train,0.3829859804907768
MAE,train,0.3713372487590009
MAE,train,0.37885989465880526
MAE,train,0.37478804651895936
MAE,train,0.3810623055650118
MAE,train,0.3764377180650468
MAE,train,0.37382637208778613
MAE,train,0.37396193901838976
MAE,train,0.3746543470873981
MAE,test,0.5574236813226767
MAE,test,0.5151917414471214
MAE,test,0.6796564737717259
MAE,test,0.6305578301400614
MAE,test,0.6746108821145482
MAE,test,0.5706005187097619
MAE,test,0.5718350248252304
MAE,test,0.5931310387786574
MAE,test,0.6411461349978089
MAE,test,0.5951499082186589
