metric,dataset,value
RMSE,train,0.9138965857125976
RMSE,train,0.9458570217421878
RMSE,train,0.9101936528533988
RMSE,train,0.9241086997665795
RMSE,train,0.9175403235481471
RMSE,train,0.9233187368279353
RMSE,train,0.9386561489101172
RMSE,train,0.9241923589398555
RMSE,train,0.9181845829575807
RMSE,train,0.9299073927985352
RMSE,test,1.2263387513778785
RMSE,test,1.0582206002038084
RMSE,test,1.4924534959183988
RMSE,test,1.2395841808953094
RMSE,test,1.4377074846121338
RMSE,test,1.2359794047413468
RMSE,test,1.0934652379758365
RMSE,test,1.1335505988072105
RMSE,test,1.2011907534964805
RMSE,test,1.1058801523614126
R2,train,0.846210285610168
R2,train,0.838162098328287
R2,train,0.8476309635980521
R2,train,0.8458447394256366
R2,train,0.8436993971936502
R2,train,0.8430275596084436
R2,train,0.8402388319252919
R2,train,0.8475196488643455
R2,train,0.8437298635313852
R2,train,0.8437285172741829
R2,test,0.7452083672243441
R2,test,0.7777334507755358
R2,test,0.619548760574208
R2,test,0.6876272611042274
R2,test,0.6712065754583132
R2,test,0.7419345030955617
R2,test,0.7678412924466438
R2,test,0.7003464018161283
R2,test,0.7686377917889118
R2,test,0.7547351970461399
MAE,train,0.6003776690165009
MAE,train,0.6160136978383344
MAE,train,0.5969152355375932
MAE,train,0.6043355274548795
MAE,train,0.6053423600626868
MAE,train,0.6000636733317578
MAE,train,0.6122657897818855
MAE,train,0.6112875008141462
MAE,train,0.6033667204693783
MAE,train,0.6111700874815746
MAE,test,0.7612648000989873
MAE,test,0.7209593554552026
MAE,test,0.8600723789133852
MAE,test,0.8025333907603203
MAE,test,0.8672023241740586
MAE,test,0.755148974189608
MAE,test,0.7018273895353763
MAE,test,0.75405623937955
MAE,test,0.7446882573161223
MAE,test,0.7182545848395482
