metric,dataset,value
RMSE,train,0.7638661755649077
RMSE,train,0.76785099809284
RMSE,train,0.7575958313343691
RMSE,train,0.7441728794020568
RMSE,train,0.7615133116003964
RMSE,train,0.7626334905666338
RMSE,train,0.7688816468071483
RMSE,train,0.7696861791889243
RMSE,train,0.7513246831276867
RMSE,train,0.7593593918759257
RMSE,test,1.1478885774002408
RMSE,test,0.9857071780039578
RMSE,test,1.3536339257268228
RMSE,test,1.2573810363006446
RMSE,test,1.3485347806187198
RMSE,test,1.1556070550885622
RMSE,test,1.0441932066372808
RMSE,test,1.0177271440068012
RMSE,test,1.1541080218111877
RMSE,test,1.0942258575362531
R2,train,0.8925595694488264
R2,train,0.893344523422937
R2,train,0.8944388122175437
R2,train,0.9000322518952596
R2,train,0.8923372836787018
R2,train,0.8929092749628456
R2,train,0.8928043512182041
R2,train,0.8942412003803293
R2,train,0.8953663651499145
R2,train,0.8957934375895178
R2,test,0.7767642597969167
R2,test,0.8071509419250178
R2,test,0.6870320617424699
R2,test,0.6785933286409256
R2,test,0.7107280252901189
R2,test,0.7744058442363466
R2,test,0.7882922570621215
R2,test,0.7584536989443607
R2,test,0.7864196080449336
R2,test,0.7598773940284145
MAE,train,0.5058466391120919
MAE,train,0.5079418924436485
MAE,train,0.5025110680861491
MAE,train,0.4936466990790948
MAE,train,0.4988837484451753
MAE,train,0.5020694387859612
MAE,train,0.5106417841122058
MAE,train,0.503029255866576
MAE,train,0.5003823417948958
MAE,train,0.5017920098584118
MAE,test,0.706184774509098
MAE,test,0.6692635247409142
MAE,test,0.7874223294368908
MAE,test,0.7921735782690073
MAE,test,0.8200904145395922
MAE,test,0.6782362987111678
MAE,test,0.6537151120836782
MAE,test,0.6777733238900537
MAE,test,0.7187386366809541
MAE,test,0.6925589267985144
Fit_time,train,1.600980520248413
Fit_time,train,1.6040949821472168
Fit_time,train,1.5422165393829346
Fit_time,train,1.5767982006072998
Fit_time,train,1.5780186653137207
Fit_time,train,1.6577749252319336
Fit_time,train,1.5852978229522705
Fit_time,train,1.6358251571655273
Fit_time,train,1.5620331764221191
Fit_time,train,1.603825330734253
Fit_time,test,0.004999876022338867
Fit_time,test,0.004000186920166016
Fit_time,test,0.005000114440917969
Fit_time,test,0.004999637603759766
Fit_time,test,0.0040013790130615234
Fit_time,test,0.005000591278076172
Fit_time,test,0.0050029754638671875
Fit_time,test,0.004000186920166016
Fit_time,test,0.004999637603759766
Fit_time,test,0.005000591278076172
