metric,dataset,value
RMSE,train,0.755828827643064
RMSE,train,0.7249545153544436
RMSE,train,0.7211976210492698
RMSE,train,0.7329309660819813
RMSE,train,0.737765357956126
RMSE,train,0.7239087027235769
RMSE,train,0.7305630183518912
RMSE,train,0.7365547425504569
RMSE,train,0.7213650335973982
RMSE,train,0.746190557700974
RMSE,test,1.1238692788467801
RMSE,test,1.7876495666035892
RMSE,test,1.7960994960156278
RMSE,test,1.3704002812601987
RMSE,test,1.279412571668545
RMSE,test,1.7089358518431461
RMSE,test,1.198189462996951
RMSE,test,1.4071272563436854
RMSE,test,1.396666331998085
RMSE,test,1.4453711235646542
R2,train,0.9396252226253969
R2,train,0.9434272653505675
R2,train,0.9423930739475971
R2,train,0.9421046900801985
R2,train,0.9411045287163158
R2,train,0.9431436782748877
R2,train,0.9426650976061356
R2,train,0.9416464131581563
R2,train,0.9432569889129634
R2,train,0.9402271273775832
R2,test,0.8290479999569923
R2,test,0.6444998461528295
R2,test,0.7155609363367086
R2,test,0.7910574020802537
R2,test,0.8199889502201023
R2,test,0.6978098133821606
R2,test,0.834044163666023
R2,test,0.7787386507397083
R2,test,0.7971861214267966
R2,test,0.7612628349850145
MAE,train,0.5320379394611067
MAE,train,0.5091111296411118
MAE,train,0.5083920614671982
MAE,train,0.5207995701252848
MAE,train,0.5203245921214219
MAE,train,0.5042170949572483
MAE,train,0.5093483653727611
MAE,train,0.5173704426381568
MAE,train,0.5080702830818274
MAE,train,0.5239388633712234
MAE,test,0.7933290526435062
MAE,test,1.0494215481427718
MAE,test,1.100228538054449
MAE,test,0.9144411516897074
MAE,test,0.8465669002223796
MAE,test,1.0854703659261893
MAE,test,0.8268686154948596
MAE,test,0.9247029949644061
MAE,test,0.9477259368837561
MAE,test,0.8867264483897785
