metric,dataset,value
RMSE,train,0.6112864753726922
RMSE,train,0.6330154998433544
RMSE,train,0.6168003310042209
RMSE,train,0.6232137849101766
RMSE,train,0.6314627286789718
RMSE,train,0.6231003597278614
RMSE,train,0.6036776206127663
RMSE,train,0.6215054956814434
RMSE,train,0.625785990328315
RMSE,train,0.6244995654156607
RMSE,test,1.0304509079033322
RMSE,test,1.520127862194245
RMSE,test,1.6280537342324317
RMSE,test,1.2022247756473823
RMSE,test,1.0273720482486934
RMSE,test,1.4268431897256157
RMSE,test,1.4310092412510071
RMSE,test,1.2030760350810294
RMSE,test,1.2690080012531282
RMSE,test,1.2720927196093517
R2,train,0.9605089925985375
R2,train,0.9568665354885061
R2,train,0.9578638038731433
R2,train,0.9581407595867563
R2,train,0.9568539713584222
R2,train,0.9578762362358852
R2,train,0.9608516140288699
R2,train,0.9584522564562933
R2,train,0.9572974434730881
R2,train,0.9581332826238262
R2,test,0.85628662159266
R2,test,0.7429395547012727
R2,test,0.7662961172266679
R2,test,0.8391935518128747
R2,test,0.8839264069231803
R2,test,0.7893403645114384
R2,test,0.7632846533050195
R2,test,0.8382571999831129
R2,test,0.8325669984310236
R2,test,0.8150736410913995
MAE,train,0.4110338385983413
MAE,train,0.42369505340120567
MAE,train,0.41870462341894893
MAE,train,0.41907396667746694
MAE,train,0.42034797759749115
MAE,train,0.4153394086564279
MAE,train,0.40117791394844166
MAE,train,0.41635442222721947
MAE,train,0.421305370700189
MAE,train,0.4241619357209231
MAE,test,0.6716539493458012
MAE,test,0.8440107872871245
MAE,test,1.0264717149322202
MAE,test,0.7636001316995613
MAE,test,0.749125884386925
MAE,test,0.837520340048222
MAE,test,0.8931233177421534
MAE,test,0.7717964501305534
MAE,test,0.8372888373503076
MAE,test,0.725307468475132
