metric,dataset,value
RMSE,train,1.5629204756506352
RMSE,train,1.6862505066279165
RMSE,train,1.371259152252339
RMSE,train,1.5404486441119951
RMSE,train,1.6697331193578127
RMSE,train,1.5149195494237297
RMSE,train,1.6333980696688124
RMSE,train,1.666663773852063
RMSE,train,1.8610012732147339
RMSE,train,1.5023898319471087
RMSE,test,1.3658777557342454
RMSE,test,1.9025853060471425
RMSE,test,1.814589381362991
RMSE,test,1.605364645299834
RMSE,test,1.5649349313682355
RMSE,test,1.8653504340528857
RMSE,test,1.4334845644249896
RMSE,test,1.368995560866655
RMSE,test,1.6635383890972044
RMSE,test,1.384240356166454
R2,train,0.7418439388275146
R2,train,0.6939235925674438
R2,train,0.7917402982711792
R2,train,0.7442523241043091
R2,train,0.6983248591423035
R2,train,0.7510051727294922
R2,train,0.7133923172950745
R2,train,0.7012186646461487
R2,train,0.6223447322845459
R2,train,0.7576907873153687
R2,test,0.7474971413612366
R2,test,0.5973169803619385
R2,test,0.7096744775772095
R2,test,0.7132657766342163
R2,test,0.7306787967681885
R2,test,0.6399608254432678
R2,test,0.7624650001525879
R2,test,0.7905680537223816
R2,test,0.7122747302055359
R2,test,0.7810301780700684
MAE,train,1.1433401107788086
MAE,train,1.2604725360870361
MAE,train,1.0312973260879517
MAE,train,1.119530439376831
MAE,train,1.2245197296142578
MAE,train,1.1311365365982056
MAE,train,1.1996492147445679
MAE,train,1.2440800666809082
MAE,train,1.357084035873413
MAE,train,1.1188042163848877
MAE,test,0.95851069688797
MAE,test,1.1730507612228394
MAE,test,1.189138650894165
MAE,test,1.163390040397644
MAE,test,1.1146711111068726
MAE,test,1.2407493591308594
MAE,test,1.0307523012161255
MAE,test,0.9533032774925232
MAE,test,1.3386261463165283
MAE,test,0.9249497652053833
Fit_time,train,79.28167510032654
Fit_time,train,79.43367028236389
Fit_time,train,79.31391453742981
Fit_time,train,79.51839280128479
Fit_time,train,75.94796919822693
Fit_time,train,74.43838763237
Fit_time,train,76.20555663108826
Fit_time,train,78.59425806999207
Fit_time,train,75.79570698738098
Fit_time,train,78.79518866539001
Fit_time,test,0.02650928497314453
Fit_time,test,0.028841733932495117
Fit_time,test,0.03952622413635254
Fit_time,test,0.02705216407775879
Fit_time,test,0.0240023136138916
Fit_time,test,0.03389859199523926
Fit_time,test,0.027521610260009766
Fit_time,test,0.02399897575378418
Fit_time,test,0.02300095558166504
Fit_time,test,0.029511213302612305
