metric,dataset,value
RMSE,train,0.8548374327081858
RMSE,train,0.8529824849528527
RMSE,train,0.8392550673362033
RMSE,train,0.8176819200671819
RMSE,train,0.8756231160082574
RMSE,train,0.8349096520706386
RMSE,train,0.8421525827281595
RMSE,train,0.8419916338081641
RMSE,train,0.8496267347548088
RMSE,train,0.83161599775837
RMSE,test,1.3216276548446535
RMSE,test,1.8698452205882825
RMSE,test,1.875551045183602
RMSE,test,1.671658984055794
RMSE,test,1.3768907814158464
RMSE,test,1.8422122385107174
RMSE,test,1.439991272698529
RMSE,test,1.3329461437754127
RMSE,test,1.3653904058594384
RMSE,test,1.6644153559557955
R2,train,0.9227718376509525
R2,train,0.9216812258795484
R2,train,0.921989317959959
R2,train,0.927941364924742
R2,train,0.9170378840990888
R2,train,0.924370691742388
R2,train,0.9238122270187131
R2,train,0.9237441707328071
R2,train,0.9212848108965761
R2,train,0.9257578910344262
R2,test,0.7635927333666295
R2,test,0.611056664469969
R2,test,0.6898396806063114
R2,test,0.6890951581759197
R2,test,0.7915139883039013
R2,test,0.648837476490018
R2,test,0.7603037397650453
R2,test,0.8014526885672226
R2,test,0.806167750522408
R2,test,0.6834190977588677
MAE,train,0.6259385845449582
MAE,train,0.6169933421009188
MAE,train,0.6099498843681692
MAE,train,0.5938512312372926
MAE,train,0.6394208248490232
MAE,train,0.6125590150034472
MAE,train,0.6143023074354806
MAE,train,0.6133324377166878
MAE,train,0.6191272856465418
MAE,train,0.609123978266435
MAE,test,0.9570441416820131
MAE,test,1.1817278483438407
MAE,test,1.2643872916666592
MAE,test,1.1196171308427105
MAE,test,1.0011339232137073
MAE,test,1.228790678485471
MAE,test,1.0212186688106009
MAE,test,0.9574527138136436
MAE,test,0.9942297102328267
MAE,test,1.0905916317923416
Fit_time,train,0.7758402824401855
Fit_time,train,0.6472647190093994
Fit_time,train,0.5679056644439697
Fit_time,train,0.6582252979278564
Fit_time,train,0.5669474601745605
Fit_time,train,0.6446681022644043
Fit_time,train,0.756206750869751
Fit_time,train,0.7785921096801758
Fit_time,train,0.5705657005310059
Fit_time,train,0.5551395416259766
Fit_time,test,0.004996776580810547
Fit_time,test,0.004002094268798828
Fit_time,test,0.003999471664428711
Fit_time,test,0.004001140594482422
Fit_time,test,0.003999948501586914
Fit_time,test,0.003999233245849609
Fit_time,test,0.003489971160888672
Fit_time,test,0.0039997100830078125
Fit_time,test,0.004001140594482422
Fit_time,test,0.0039997100830078125
