metric,dataset,value
RMSE,train,0.56776761844935
RMSE,train,0.5352955100975962
RMSE,train,0.48834810943620327
RMSE,train,0.5330210504114562
RMSE,train,0.5084810111496026
RMSE,train,0.5270316153874786
RMSE,train,0.5388506044419646
RMSE,train,0.5515688952542607
RMSE,train,0.5418709009228887
RMSE,train,0.519000764927089
RMSE,test,1.1688653062865788
RMSE,test,1.543847328855364
RMSE,test,1.8569585661571884
RMSE,test,1.5135304243383907
RMSE,test,1.2570522688299142
RMSE,test,1.7272939384107182
RMSE,test,1.4334326713352612
RMSE,test,1.3451567981748542
RMSE,test,1.2825779894489302
RMSE,test,1.5343401343585594
R2,train,0.96593177318573
R2,train,0.9691558480262756
R2,train,0.9735865592956543
R2,train,0.9693799614906311
R2,train,0.9720234274864197
R2,train,0.9698640704154968
R2,train,0.9688081741333008
R2,train,0.9672766923904419
R2,train,0.9679819941520691
R2,train,0.9710838198661804
R2,test,0.815085232257843
R2,test,0.7348548173904419
R2,test,0.6959584951400757
R2,test,0.7451325058937073
R2,test,0.8262260556221008
R2,test,0.6912823915481567
R2,test,0.762482225894928
R2,test,0.7977983951568604
R2,test,0.8289669752120972
R2,test,0.73096764087677
MAE,train,0.40279000997543335
MAE,train,0.37890172004699707
MAE,train,0.3490959405899048
MAE,train,0.37873345613479614
MAE,train,0.3609069585800171
MAE,train,0.36972570419311523
MAE,train,0.3841670751571655
MAE,train,0.393924742937088
MAE,train,0.38579174876213074
MAE,train,0.37372902035713196
MAE,test,0.8385118246078491
MAE,test,0.9567725658416748
MAE,test,1.1705553531646729
MAE,test,0.9957457184791565
MAE,test,0.8975107073783875
MAE,test,1.099169135093689
MAE,test,0.9732270240783691
MAE,test,0.868031919002533
MAE,test,0.9180373549461365
MAE,test,0.9073553085327148
