metric,dataset,value
RMSE,train,1.2802372802213378
RMSE,train,1.2456334956116255
RMSE,train,1.236533951234649
RMSE,train,1.2305313304782202
RMSE,train,1.230110895701191
RMSE,train,1.2570278388957095
RMSE,train,1.2321362074373396
RMSE,train,1.2621728593884753
RMSE,train,1.2738561176041288
RMSE,train,1.258359466001817
RMSE,test,1.4044590374667045
RMSE,test,2.013817720747932
RMSE,test,1.9681757777830258
RMSE,test,1.8363165194894744
RMSE,test,1.7317660590152322
RMSE,test,1.8422064465172459
RMSE,test,1.5198703165027745
RMSE,test,1.7015620995962355
RMSE,test,1.7622425895276395
RMSE,test,1.5713483453973054
R2,train,0.8267833730219433
R2,train,0.8329808726496883
R2,train,0.8306527217788695
R2,train,0.8368065992056317
R2,train,0.836267869064485
R2,train,0.8285644218319657
R2,train,0.8369123221262192
R2,train,0.8286456356522104
R2,train,0.8230531002037547
R2,train,0.8300136414175379
R2,test,0.7330310578881651
R2,test,0.5488558466948864
R2,test,0.6584484790139382
R2,test,0.6248307851633497
R2,test,0.6701956464592485
R2,test,0.6488396846263051
R2,test,0.7329733516882078
R2,test,0.6764552086992903
R2,test,0.6771180792512432
R2,test,0.7178329941906834
MAE,train,0.9110352759212559
MAE,train,0.8801237031320862
MAE,train,0.8785359842720203
MAE,train,0.8679401617651656
MAE,train,0.8649775006082437
MAE,train,0.8902923686648512
MAE,train,0.870476758074722
MAE,train,0.8906939792230755
MAE,train,0.9006416102302621
MAE,train,0.9015541864368984
MAE,test,0.9807396861841678
MAE,test,1.1900072520314857
MAE,test,1.3797702102693459
MAE,test,1.2309768165618633
MAE,test,1.2260910747744955
MAE,test,1.1984329963016682
MAE,test,1.061991549941964
MAE,test,1.0801171322173873
MAE,test,1.1683061467447675
MAE,test,1.0654076233349137
