metric,dataset,value
RMSE,train,0.7094766376628419
RMSE,train,0.770374052308531
RMSE,train,0.7001415607823116
RMSE,train,0.7156949890365165
RMSE,train,0.7525389170327587
RMSE,train,0.735915122008529
RMSE,train,0.7209534261006617
RMSE,train,0.7473251716690119
RMSE,train,0.7209183429630036
RMSE,train,0.737804077784675
RMSE,test,1.3820318790526671
RMSE,test,1.8922565143972156
RMSE,test,1.8442607107747462
RMSE,test,1.8336665238420473
RMSE,test,1.4839776067715853
RMSE,test,1.7859658164537568
RMSE,test,1.4889611640782476
RMSE,test,1.590740990689739
RMSE,test,1.4469803797060552
RMSE,test,1.6785358878856298
R2,train,0.9468032823165855
R2,train,0.9361164639422983
R2,train,0.9457077491090341
R2,train,0.9447956635159462
R2,train,0.9387221792742559
R2,train,0.941242052228126
R2,train,0.9441635074930691
R2,train,0.9399273601885184
R2,train,0.9433272410676011
R2,train,0.9415631587984294
R2,test,0.7414891900871385
R2,test,0.601677320094129
R2,test,0.7001023331507636
R2,test,0.6259128202168496
R2,test,0.7578231467114657
R2,test,0.6699535093166817
R2,test,0.7437237981018638
R2,test,0.7172271233654317
R2,test,0.7823104273289769
R2,test,0.6780247072281631
MAE,train,0.5259109631058687
MAE,train,0.5732645636631174
MAE,train,0.5212863667310998
MAE,train,0.5339832770348456
MAE,train,0.5623624028945218
MAE,train,0.5471684282152359
MAE,train,0.5313229164143599
MAE,train,0.5585028975514463
MAE,train,0.5360085393491182
MAE,train,0.5541796574012994
MAE,test,1.0135572583233192
MAE,test,1.1876456194396003
MAE,test,1.2658442369509637
MAE,test,1.218479739191425
MAE,test,1.1053020644655307
MAE,test,1.230470848120039
MAE,test,1.0396561243268918
MAE,test,1.0632617099182708
MAE,test,1.1667976753854497
MAE,test,1.0765442910420613
Fit_time,train,1.4290759563446045
Fit_time,train,1.2151837348937988
Fit_time,train,1.3450655937194824
Fit_time,train,1.2088732719421387
Fit_time,train,1.2090084552764893
Fit_time,train,1.236128330230713
Fit_time,train,1.3110969066619873
Fit_time,train,1.5079848766326904
Fit_time,train,1.3921287059783936
Fit_time,train,1.5026650428771973
Fit_time,test,0.003000497817993164
Fit_time,test,0.003999471664428711
Fit_time,test,0.0030007362365722656
Fit_time,test,0.0029997825622558594
Fit_time,test,0.002999544143676758
Fit_time,test,0.003000020980834961
Fit_time,test,0.004000186920166016
Fit_time,test,0.0039997100830078125
Fit_time,test,0.0039997100830078125
Fit_time,test,0.0030002593994140625
