metric,dataset,value
RMSE,train,1.2025292689449314
RMSE,train,1.2306341522665845
RMSE,train,1.2119141719343733
RMSE,train,1.2322479718241037
RMSE,train,1.194962564759148
RMSE,train,1.2068873659739783
RMSE,train,1.2035150963505008
RMSE,train,1.1854026795958383
RMSE,train,1.1870731347613201
RMSE,train,1.1874591597940776
RMSE,test,1.7847917867683267
RMSE,test,2.0133787804147745
RMSE,test,1.8019836879317874
RMSE,test,1.686847888466262
RMSE,test,1.8859598281889653
RMSE,test,1.7889049049495127
RMSE,test,1.9566776481725652
RMSE,test,2.0900175213120957
RMSE,test,2.1318618022918914
RMSE,test,1.9258442639376312
R2,train,0.8356885672097552
R2,train,0.8236513357040498
R2,train,0.8323135990547526
R2,train,0.8262901205610033
R2,train,0.832765915106411
R2,train,0.8291502490224587
R2,train,0.8311491618116971
R2,train,0.837128646783229
R2,train,0.8382870982679054
R2,train,0.8380174761251695
R2,test,0.5572384934649333
R2,test,0.5633839087231977
R2,test,0.5806857109140298
R2,test,0.6380529947874986
R2,test,0.6345332201992211
R2,test,0.6709575283890559
R2,test,0.5887795799425819
R2,test,0.5105685818199521
R2,test,0.4417789998667965
R2,test,0.5473252074583563
MAE,train,0.909483307634744
MAE,train,0.9226423767547308
MAE,train,0.9133568350553429
MAE,train,0.9304252532051612
MAE,train,0.9008996261243928
MAE,train,0.9131442063835224
MAE,train,0.9120745243261683
MAE,train,0.9021260899061891
MAE,train,0.8934314538215951
MAE,train,0.8920396661314213
MAE,test,1.3449608934471755
MAE,test,1.490894148602074
MAE,test,1.4178938676388224
MAE,test,1.2896205238240024
MAE,test,1.4071680310923733
MAE,test,1.2651774127562465
MAE,test,1.4373434051620961
MAE,test,1.6046737000598281
MAE,test,1.5412231414097453
MAE,test,1.4978660464957105
Fit_time,train,2.6865780353546143
Fit_time,train,2.2425436973571777
Fit_time,train,2.640284776687622
Fit_time,train,2.7196903228759766
Fit_time,train,2.7697789669036865
Fit_time,train,3.1498751640319824
Fit_time,train,2.743556499481201
Fit_time,train,2.4762561321258545
Fit_time,train,2.5199973583221436
Fit_time,train,2.6253368854522705
Fit_time,test,0.00599980354309082
Fit_time,test,0.0065059661865234375
Fit_time,test,0.0060002803802490234
Fit_time,test,0.00599980354309082
Fit_time,test,0.0052454471588134766
Fit_time,test,0.006000518798828125
Fit_time,test,0.005523681640625
Fit_time,test,0.005999565124511719
Fit_time,test,0.004999876022338867
Fit_time,test,0.0060002803802490234
