metric,dataset,value
RMSE,train,1.1212015379728533
RMSE,train,1.1189255247259688
RMSE,train,1.1504969867744053
RMSE,train,1.1333633875758475
RMSE,train,1.1437025301116237
RMSE,train,1.122105182465587
RMSE,train,1.1505716356398592
RMSE,train,1.1014104740316408
RMSE,train,1.14130511505425
RMSE,train,1.1147452916041811
RMSE,test,1.607363079844989
RMSE,test,1.9295540449972597
RMSE,test,1.5970927093673541
RMSE,test,1.6689748349262468
RMSE,test,2.0299061265430067
RMSE,test,1.8641551164483368
RMSE,test,1.7504140313894432
RMSE,test,1.8290820489312445
RMSE,test,2.0359988816120964
RMSE,test,1.9577061533926001
R2,train,0.8571619735727735
R2,train,0.8542137349099649
R2,train,0.8488789068175555
R2,train,0.8530509939756488
R2,train,0.846805786413764
R2,train,0.8523110494572741
R2,train,0.8456781349894431
R2,train,0.8593915891834112
R2,train,0.8505165045376368
R2,train,0.8572480363201471
R2,test,0.6408939546825108
R2,test,0.5989831164410218
R2,test,0.6706192561947916
R2,test,0.6456824040223321
R2,test,0.5766155145873451
R2,test,0.6426929844802615
R2,test,0.6709077336778055
R2,test,0.6251492658745778
R2,test,0.4908530525104623
R2,test,0.5322228600416613
MAE,train,0.8313707513264881
MAE,train,0.8384568180342095
MAE,train,0.8519207631339383
MAE,train,0.8391945759311324
MAE,train,0.8549081345544657
MAE,train,0.8365319270547588
MAE,train,0.8529262013005428
MAE,train,0.821798571091308
MAE,train,0.8557008578289186
MAE,train,0.830135780049646
MAE,test,1.1860409717753488
MAE,test,1.3720208133493823
MAE,test,1.22680275869424
MAE,test,1.2817256338848213
MAE,test,1.4381827455109417
MAE,test,1.346459701705691
MAE,test,1.31882145631206
MAE,test,1.3970820401502422
MAE,test,1.4794483759049624
MAE,test,1.4999715622559582
