metric,dataset,value
RMSE,train,2.230674293253452
RMSE,train,2.091455369386062
RMSE,train,2.009767167189945
RMSE,train,2.1054421389566573
RMSE,train,2.125588055193974
RMSE,train,2.1111007977395473
RMSE,train,2.376458874411421
RMSE,train,2.150527769560902
RMSE,train,2.0224390107001873
RMSE,train,2.051208451598218
RMSE,test,1.992152434395746
RMSE,test,2.267601781913904
RMSE,test,1.86145467418047
RMSE,test,2.1419763685003885
RMSE,test,2.1841865512835907
RMSE,test,2.183658933263734
RMSE,test,2.165175609558507
RMSE,test,2.367061599052398
RMSE,test,2.169365730057025
RMSE,test,2.4656702460523925
R2,train,0.434609055519104
R2,train,0.49065566062927246
R2,train,0.5388463735580444
R2,train,0.4928750991821289
R2,train,0.47085535526275635
R2,train,0.4772443175315857
R2,train,0.3416441082954407
R2,train,0.46395283937454224
R2,train,0.5306026935577393
R2,train,0.51666259765625
R2,test,0.44838017225265503
R2,test,0.44616252183914185
R2,test,0.5525516867637634
R2,test,0.4163903594017029
R2,test,0.5098121166229248
R2,test,0.5097167491912842
R2,test,0.4964735507965088
R2,test,0.372214674949646
R2,test,0.42196571826934814
R2,test,0.2579827904701233
MAE,train,1.747350811958313
MAE,train,1.6152294874191284
MAE,train,1.535782814025879
MAE,train,1.6041136980056763
MAE,train,1.6681432723999023
MAE,train,1.6430550813674927
MAE,train,1.8643656969070435
MAE,train,1.6811168193817139
MAE,train,1.5582255125045776
MAE,train,1.5731209516525269
MAE,test,1.4991521835327148
MAE,test,1.674399971961975
MAE,test,1.4535868167877197
MAE,test,1.6560311317443848
MAE,test,1.5955421924591064
MAE,test,1.6722922325134277
MAE,test,1.7166048288345337
MAE,test,1.860990285873413
MAE,test,1.6170037984848022
MAE,test,1.8302786350250244
