metric,dataset,value
RMSE,train,1.2171688967453418
RMSE,train,1.201265656369505
RMSE,train,1.2048711684357791
RMSE,train,1.171733939908669
RMSE,train,1.1792374927200797
RMSE,train,1.1677418335095915
RMSE,train,1.2040884664924385
RMSE,train,1.1989510141328648
RMSE,train,1.1829203006638283
RMSE,train,1.2203443586741014
RMSE,test,1.7986094998532898
RMSE,test,1.9298850802456622
RMSE,test,1.7134243847076722
RMSE,test,1.6633861338947384
RMSE,test,1.7496916720339737
RMSE,test,1.8954538692485783
RMSE,test,1.8009687438419404
RMSE,test,1.9500275074142022
RMSE,test,2.000972877407069
RMSE,test,2.0279215318652346
R2,train,0.831663550368057
R2,train,0.8319678556066302
R2,train,0.834256944905835
R2,train,0.8429325061652154
R2,train,0.8371383782024138
R2,train,0.8400535719942483
R2,train,0.8309882380458397
R2,train,0.8333843567137417
R2,train,0.8394165858021251
R2,train,0.8289214370961868
R2,test,0.5503563082715504
R2,test,0.598845507327251
R2,test,0.6208877321091488
R2,test,0.6480513549282767
R2,test,0.6854381282327996
R2,test,0.6305940490222715
R2,test,0.6516238175911218
R2,test,0.5739373482515775
R2,test,0.5082204354743523
R2,test,0.498066392433005
MAE,train,0.9226570017271184
MAE,train,0.9086845163494233
MAE,train,0.9086096256665928
MAE,train,0.8891465921424974
MAE,train,0.8906183211952472
MAE,train,0.8809632232872598
MAE,train,0.9091664644782188
MAE,train,0.9084050455828057
MAE,train,0.8930917651575565
MAE,train,0.9185820602864746
MAE,test,1.2917045928506838
MAE,test,1.4070603403552595
MAE,test,1.3183222140455804
MAE,test,1.2578373043190403
MAE,test,1.3491749755976894
MAE,test,1.3812582969878608
MAE,test,1.3739000137553716
MAE,test,1.4941333433782171
MAE,test,1.4615313456891028
MAE,test,1.5374288482797653
