metric,dataset,value
RMSE,train,1.3065717072154863
RMSE,train,1.3194189546240904
RMSE,train,1.3197859798909901
RMSE,train,1.2922207839639204
RMSE,train,1.3076071640119302
RMSE,train,1.297324116630367
RMSE,train,1.3128072115056655
RMSE,train,1.30495471320571
RMSE,train,1.3009292268085297
RMSE,train,1.2804798407510465
RMSE,test,1.7226239061384219
RMSE,test,1.9955980769483002
RMSE,test,1.7084709672820804
RMSE,test,1.739233274940406
RMSE,test,1.9346130272338582
RMSE,test,2.0796480548276617
RMSE,test,1.7801098309249177
RMSE,test,1.938482133656844
RMSE,test,2.0889328480701868
RMSE,test,1.9922061570148983
R2,train,0.8060262460883494
R2,train,0.7972878940537623
R2,train,0.8011337261397828
R2,train,0.8089699283087888
R2,train,0.7997508043053537
R2,train,0.8025860441686666
R2,train,0.7990897732529972
R2,train,0.8026197130217849
R2,train,0.8057786096533202
R2,train,0.8116453749461549
R2,test,0.5875458488689813
R2,test,0.5710616107221491
R2,test,0.6230765498650842
R2,test,0.615223255953995
R2,test,0.6154336797464584
R2,test,0.5553102312953715
R2,test,0.6596469068847922
R2,test,0.578967524099834
R2,test,0.4640342564913823
R2,test,0.5155906263911318
MAE,train,1.0085055384079518
MAE,train,1.021637028223807
MAE,train,1.024271333712263
MAE,train,1.0055722893633146
MAE,train,1.0143432011372304
MAE,train,1.0067109432881975
MAE,train,1.0232356798697377
MAE,train,1.0000267256602815
MAE,train,1.0031769300667093
MAE,train,0.9906843998786425
MAE,test,1.311415116744158
MAE,test,1.4539895117879476
MAE,test,1.338584181181211
MAE,test,1.3342005065983973
MAE,test,1.4707404181496921
MAE,test,1.491559144794363
MAE,test,1.3401277670332647
MAE,test,1.5091767986113755
MAE,test,1.4754219596840121
MAE,test,1.5315715805417802
Fit_time,train,1.295179843902588
Fit_time,train,1.1319923400878906
Fit_time,train,1.2083537578582764
Fit_time,train,1.2265467643737793
Fit_time,train,1.2088720798492432
Fit_time,train,1.2155802249908447
Fit_time,train,1.1858599185943604
Fit_time,train,1.2246198654174805
Fit_time,train,1.217311143875122
Fit_time,train,1.230419397354126
Fit_time,test,0.0055048465728759766
Fit_time,test,0.004999876022338867
Fit_time,test,0.004999876022338867
Fit_time,test,0.006002902984619141
Fit_time,test,0.005000114440917969
Fit_time,test,0.005000114440917969
Fit_time,test,0.005000114440917969
Fit_time,test,0.004999637603759766
Fit_time,test,0.004999876022338867
Fit_time,test,0.004004478454589844
