metric,dataset,value
RMSE,train,0.7657589697890042
RMSE,train,0.8153888258147083
RMSE,train,0.8011523991621051
RMSE,train,0.7996160822793426
RMSE,train,0.7931566438607442
RMSE,train,0.8050903867244044
RMSE,train,0.8251162158144236
RMSE,train,0.7844946051971907
RMSE,train,0.802322170483674
RMSE,train,0.783327887056234
RMSE,test,1.6550688220463339
RMSE,test,1.9079022985471221
RMSE,test,1.6371069108730114
RMSE,test,1.5492114522341747
RMSE,test,1.8769126673376089
RMSE,test,1.8566816682169551
RMSE,test,1.6589649189418272
RMSE,test,1.9055555986207315
RMSE,test,1.9381070570375039
RMSE,test,1.9451033391688413
R2,train,0.9333714246749878
R2,train,0.922581672668457
R2,train,0.9267202019691467
R2,train,0.9268538951873779
R2,train,0.9263226389884949
R2,train,0.9239726066589355
R2,train,0.9206347465515137
R2,train,0.9286665916442871
R2,train,0.9261267185211182
R2,train,0.929511547088623
R2,test,0.6192615032196045
R2,test,0.6079323291778564
R2,test,0.6539076566696167
R2,test,0.6947085857391357
R2,test,0.6380311250686646
R2,test,0.6455521583557129
R2,test,0.7043958902359009
R2,test,0.5931491255760193
R2,test,0.5386360883712769
R2,test,0.5382261276245117
MAE,train,0.5865016579627991
MAE,train,0.6243300437927246
MAE,train,0.6107617616653442
MAE,train,0.614377498626709
MAE,train,0.6095438003540039
MAE,train,0.6176871061325073
MAE,train,0.6304663419723511
MAE,train,0.5979946255683899
MAE,train,0.6169552803039551
MAE,train,0.5948381423950195
MAE,test,1.2176460027694702
MAE,test,1.3820523023605347
MAE,test,1.2649734020233154
MAE,test,1.169249176979065
MAE,test,1.3554112911224365
MAE,test,1.3472890853881836
MAE,test,1.2564496994018555
MAE,test,1.453883409500122
MAE,test,1.358347773551941
MAE,test,1.4508490562438965
