metric,dataset,value
RMSE,train,0.8368927675829672
RMSE,train,0.8259182804569042
RMSE,train,0.854677016840774
RMSE,train,0.8315698481553699
RMSE,train,0.8406557283138595
RMSE,train,0.8317037663246877
RMSE,train,0.8575809826437952
RMSE,train,0.8065814719320704
RMSE,train,0.8160420750868627
RMSE,train,0.8246052274324097
RMSE,test,1.6762180426024011
RMSE,test,1.9786005180801642
RMSE,test,1.6935506358475998
RMSE,test,1.6577199494812758
RMSE,test,1.9719564575201007
RMSE,test,1.8576960316204687
RMSE,test,1.6254326904544893
RMSE,test,1.950883601585398
RMSE,test,2.138970396902604
RMSE,test,2.0791633707860027
R2,train,0.9204177856445312
R2,train,0.9205693006515503
R2,train,0.9166015386581421
R2,train,0.9208910465240479
R2,train,0.9172338843345642
R2,train,0.9188631176948547
R2,train,0.9142665266990662
R2,train,0.9245933890342712
R2,train,0.9235786199569702
R2,train,0.9218870401382446
R2,test,0.6094688177108765
R2,test,0.5783374905586243
R2,test,0.6296312808990479
R2,test,0.6504450440406799
R2,test,0.600443959236145
R2,test,0.6451647281646729
R2,test,0.7162250280380249
R2,test,0.5735631585121155
R2,test,0.4380500316619873
R2,test,0.47238004207611084
MAE,train,0.6364383101463318
MAE,train,0.6298839449882507
MAE,train,0.6458677053451538
MAE,train,0.636553943157196
MAE,train,0.6449241042137146
MAE,train,0.6369740962982178
MAE,train,0.6576248407363892
MAE,train,0.6135155558586121
MAE,train,0.6275994777679443
MAE,train,0.625724196434021
MAE,test,1.2446881532669067
MAE,test,1.4653170108795166
MAE,test,1.3302122354507446
MAE,test,1.1931636333465576
MAE,test,1.3969018459320068
MAE,test,1.350778341293335
MAE,test,1.2343190908432007
MAE,test,1.5033953189849854
MAE,test,1.448572039604187
MAE,test,1.5459754467010498
