metric,dataset,value
RMSE,train,2.1551352233429473
RMSE,train,2.137518207437796
RMSE,train,2.165299349431873
RMSE,train,2.111953709945717
RMSE,train,2.0821475036485046
RMSE,train,2.1029805318829546
RMSE,train,2.123461686018345
RMSE,train,2.124641511663862
RMSE,train,2.0980977764537374
RMSE,train,2.1064274512794903
RMSE,test,2.2469754940686584
RMSE,test,2.7319899207791387
RMSE,test,2.2304730938611543
RMSE,test,2.3634606463739187
RMSE,test,2.633832925408621
RMSE,test,2.4916700381950623
RMSE,test,2.5903460041075057
RMSE,test,2.314087647278159
RMSE,test,2.446706576942712
RMSE,test,2.362746047958774
R2,train,0.4722533059975179
R2,train,0.4679727300519779
R2,train,0.46470892025176624
R2,train,0.48973346715359456
R2,train,0.4922625670003813
R2,train,0.48125804712039966
R2,train,0.4743592877923831
R2,train,0.4767801396082262
R2,train,0.4948257977321544
R2,train,0.49028923071207586
R2,test,0.29823547411280094
R2,test,0.1960908928939178
R2,test,0.3575609531773346
R2,test,0.289457770188577
R2,test,0.28721348330575924
R2,test,0.3616505200727188
R2,test,0.27930474662508986
R2,test,0.39999951855458404
R2,test,0.2647215239882341
R2,test,0.3186377422750578
MAE,train,1.6396414171668616
MAE,train,1.6236549336759722
MAE,train,1.6449090880994715
MAE,train,1.6047050140949723
MAE,train,1.5887757336654582
MAE,train,1.596707231690084
MAE,train,1.6145944889157833
MAE,train,1.6097294472619497
MAE,train,1.591171611881932
MAE,train,1.590015716721014
MAE,test,1.7476706500669745
MAE,test,1.944314846588764
MAE,test,1.771914510616159
MAE,test,1.829323334527067
MAE,test,1.9783722916071202
MAE,test,1.89350427111145
MAE,test,2.0271606125875414
MAE,test,1.825854659044264
MAE,test,1.784876417980378
MAE,test,1.8780640577012473
Fit_time,train,0.3974184989929199
Fit_time,train,0.39398622512817383
Fit_time,train,0.44501590728759766
Fit_time,train,0.46367406845092773
Fit_time,train,0.3757936954498291
Fit_time,train,0.3945009708404541
Fit_time,train,0.3112649917602539
Fit_time,train,0.3013784885406494
Fit_time,train,0.318744421005249
Fit_time,train,0.3113558292388916
Fit_time,test,0.004507780075073242
Fit_time,test,0.003999471664428711
Fit_time,test,0.004000186920166016
Fit_time,test,0.004000663757324219
Fit_time,test,0.004403352737426758
Fit_time,test,0.003000020980834961
Fit_time,test,0.003999471664428711
Fit_time,test,0.0030002593994140625
Fit_time,test,0.003999948501586914
Fit_time,test,0.004002094268798828
