metric,dataset,value
RMSE,train,1.4671281387509016
RMSE,train,1.5225085692416478
RMSE,train,1.5176504446071202
RMSE,train,1.5018270461451648
RMSE,train,1.522000402094122
RMSE,train,1.486482161161056
RMSE,train,1.479897992452217
RMSE,train,1.4771461413495157
RMSE,train,1.4946267712093892
RMSE,train,1.4803603229036737
RMSE,test,1.8013808279081656
RMSE,test,2.0244421361488265
RMSE,test,1.8106649260348238
RMSE,test,1.7227513583259688
RMSE,test,2.0611884122013624
RMSE,test,2.03765715697704
RMSE,test,1.9715065157527851
RMSE,test,1.9789403556086007
RMSE,test,2.173349994973969
RMSE,test,2.245913819729779
R2,train,0.7554247169743303
R2,train,0.7300808241393804
R2,train,0.7370351976650661
R2,train,0.7419712269773939
R2,train,0.7287025372343361
R2,train,0.7408207244603987
R2,train,0.744692426234832
R2,train,0.7470935973875579
R2,train,0.743637067280714
R2,train,0.7482522077210345
R2,test,0.5489696034959488
R2,test,0.5585723843116737
R2,test,0.5766358012015134
R2,test,0.6224814068411311
R2,test,0.563465657772674
R2,test,0.5730867073381267
R2,test,0.5825230153581108
R2,test,0.5612093137685268
R2,test,0.4198404906740062
R2,test,0.3843552824402222
MAE,train,1.1347860464879076
MAE,train,1.1708734933691336
MAE,train,1.1653103107501384
MAE,train,1.1617353526977938
MAE,train,1.1773519294973314
MAE,train,1.1442115699997615
MAE,train,1.1438371270902705
MAE,train,1.1452272795092546
MAE,train,1.1538146537510516
MAE,train,1.1388070232357406
MAE,test,1.3384499795595874
MAE,test,1.5194939371617633
MAE,test,1.412962674537871
MAE,test,1.3264733122661347
MAE,test,1.5431949275862098
MAE,test,1.5898985723913173
MAE,test,1.5328539103713743
MAE,test,1.5302699177099353
MAE,test,1.5147960346274683
MAE,test,1.7320451319146812
Fit_time,train,0.39055919647216797
Fit_time,train,0.35826802253723145
Fit_time,train,0.3915674686431885
Fit_time,train,0.4532344341278076
Fit_time,train,0.40515661239624023
Fit_time,train,0.38640832901000977
Fit_time,train,0.4223358631134033
Fit_time,train,0.41231417655944824
Fit_time,train,0.4610106945037842
Fit_time,train,0.4398057460784912
Fit_time,test,0.003999948501586914
Fit_time,test,0.003999948501586914
Fit_time,test,0.003999948501586914
Fit_time,test,0.0029993057250976562
Fit_time,test,0.003998994827270508
Fit_time,test,0.003000020980834961
Fit_time,test,0.0039997100830078125
Fit_time,test,0.002999544143676758
Fit_time,test,0.004001140594482422
Fit_time,test,0.004000425338745117
