metric,dataset,value
RMSE,train,2.468961585912916
RMSE,train,2.4069111894072552
RMSE,train,2.414751960542702
RMSE,train,2.4506150544092926
RMSE,train,2.4223994517840994
RMSE,train,2.455071715571884
RMSE,train,2.420933201929947
RMSE,train,2.414472032888623
RMSE,train,2.349490650250133
RMSE,train,2.4640925452142852
RMSE,test,2.3485048001430964
RMSE,test,2.7819292760562337
RMSE,test,2.713800682743742
RMSE,test,2.1758192733647386
RMSE,test,2.717207021352478
RMSE,test,2.6459280182324
RMSE,test,2.361541359789013
RMSE,test,2.507125903108351
RMSE,test,2.5030240842214497
RMSE,test,2.6612260770640757
R2,train,0.3073638677597046
R2,train,0.3254185914993286
R2,train,0.33426839113235474
R2,train,0.3129655718803406
R2,train,0.3127610683441162
R2,train,0.29301655292510986
R2,train,0.31677186489105225
R2,train,0.3242948651313782
R2,train,0.36651384830474854
R2,train,0.30249905586242676
R2,test,0.23338443040847778
R2,test,0.1664322018623352
R2,test,0.048970818519592285
R2,test,0.39780277013778687
R2,test,0.24137258529663086
R2,test,0.28016412258148193
R2,test,0.4009995460510254
R2,test,0.29572170972824097
R2,test,0.23048317432403564
R2,test,0.1356143355369568
MAE,train,1.8994826078414917
MAE,train,1.8644804954528809
MAE,train,1.8642926216125488
MAE,train,1.8846591711044312
MAE,train,1.8883717060089111
MAE,train,1.895784616470337
MAE,train,1.8751806020736694
MAE,train,1.856573462486267
MAE,train,1.8038551807403564
MAE,train,1.9078924655914307
MAE,test,1.826784610748291
MAE,test,2.226698398590088
MAE,test,2.14444637298584
MAE,test,1.7606703042984009
MAE,test,1.9852274656295776
MAE,test,2.1149373054504395
MAE,test,1.919137716293335
MAE,test,2.030616521835327
MAE,test,1.95819890499115
MAE,test,2.112696886062622
