metric,dataset,value
RMSE,train,2.687970940779104
RMSE,train,2.5553134536321522
RMSE,train,2.5376633765331555
RMSE,train,2.5514799274041504
RMSE,train,2.5863055287111374
RMSE,train,2.632164215959527
RMSE,train,2.5837608927002074
RMSE,train,2.6624804858714897
RMSE,train,2.5990282149975816
RMSE,train,2.6334252252923016
RMSE,test,2.640423919425379
RMSE,test,2.90522682473111
RMSE,test,2.6564650504629372
RMSE,test,2.329686095904433
RMSE,test,2.989051709551959
RMSE,test,2.805230473316382
RMSE,test,2.6783091389438227
RMSE,test,2.7096974287707956
RMSE,test,2.7556893710575436
RMSE,test,2.8760815120388368
R2,train,0.17903316020965576
R2,train,0.23966920375823975
R2,train,0.26477187871932983
R2,train,0.25524646043777466
R2,train,0.21661394834518433
R2,train,0.18734383583068848
R2,train,0.22177571058273315
R2,train,0.17835211753845215
R2,train,0.22480368614196777
R2,train,0.20334047079086304
R2,test,0.030959248542785645
R2,test,0.09090584516525269
R2,test,0.08873188495635986
R2,test,0.30962038040161133
R2,test,0.08198469877243042
R2,test,0.1908770203590393
R2,test,0.22952693700790405
R2,test,0.17731493711471558
R2,test,0.06728577613830566
R2,test,-0.00959312915802002
MAE,train,2.107147693634033
MAE,train,2.0220530033111572
MAE,train,1.9636417627334595
MAE,train,2.003382444381714
MAE,train,2.018054485321045
MAE,train,2.0715346336364746
MAE,train,2.0079116821289062
MAE,train,2.0862696170806885
MAE,train,2.0365777015686035
MAE,train,2.0715744495391846
MAE,test,2.0770037174224854
MAE,test,2.344162702560425
MAE,test,2.1444380283355713
MAE,test,1.8942863941192627
MAE,test,2.2782745361328125
MAE,test,2.2148823738098145
MAE,test,2.1920430660247803
MAE,test,2.2443859577178955
MAE,test,2.136895179748535
MAE,test,2.3269765377044678
Fit_time,train,30.879541635513306
Fit_time,train,33.236597776412964
Fit_time,train,32.91705083847046
Fit_time,train,31.244414806365967
Fit_time,train,30.72953748703003
Fit_time,train,32.94866323471069
Fit_time,train,30.421679496765137
Fit_time,train,30.357595205307007
Fit_time,train,32.221407651901245
Fit_time,train,33.07325077056885
Fit_time,test,0.016004562377929688
Fit_time,test,0.013265609741210938
Fit_time,test,0.0160062313079834
Fit_time,test,0.012999296188354492
Fit_time,test,0.01800251007080078
Fit_time,test,0.013509988784790039
Fit_time,test,0.016000747680664062
Fit_time,test,0.014001607894897461
Fit_time,test,0.01600193977355957
Fit_time,test,0.016448259353637695
