metric,dataset,value
RMSE,train,1.459505312457277
RMSE,train,1.4736188403279014
RMSE,train,1.481835497691058
RMSE,train,1.46961231899933
RMSE,train,1.426848902277913
RMSE,train,1.4315975964958583
RMSE,train,1.4601163805631145
RMSE,train,1.4324359121250971
RMSE,train,1.437689270177047
RMSE,train,1.4029627328793428
RMSE,test,1.7489292085247814
RMSE,test,2.013800027529511
RMSE,test,1.746233205421418
RMSE,test,1.8661269002202265
RMSE,test,2.1700148680681863
RMSE,test,2.0646556203059325
RMSE,test,1.957560842293036
RMSE,test,2.005234762133874
RMSE,test,2.1305377853465766
RMSE,test,2.1471541249427135
R2,train,0.7579596169481365
R2,train,0.7471374119614129
R2,train,0.7493001328667015
R2,train,0.752922122224325
R2,train,0.7615638126493275
R2,train,0.7596064619779884
R2,train,0.7514721385661858
R2,train,0.7621718286917971
R2,train,0.7627972168829247
R2,train,0.7738882831315628
R2,test,0.574852919837697
R2,test,0.5632011885007875
R2,test,0.6062301718004428
R2,test,0.5570288008336141
R2,test,0.5161525574387764
R2,test,0.5616987648584799
R2,test,0.5884082674534712
R2,test,0.5494713224849944
R2,test,0.44247216351486984
R2,test,0.43730841316619207
MAE,train,1.0766579715253561
MAE,train,1.0970770419233595
MAE,train,1.0959251877586538
MAE,train,1.0837119651731375
MAE,train,1.056763707254935
MAE,train,1.068940302002079
MAE,train,1.0753497492522932
MAE,train,1.0666030998315683
MAE,train,1.0589391823303143
MAE,train,1.034274656798771
MAE,test,1.320745448051663
MAE,test,1.4873281138682681
MAE,test,1.3358071565434522
MAE,test,1.4131670174436408
MAE,test,1.6058490128983378
MAE,test,1.5223159546957703
MAE,test,1.5234917463341844
MAE,test,1.5745390522932654
MAE,test,1.588545481333987
MAE,test,1.6535659170142547
Fit_time,train,0.6399374008178711
Fit_time,train,0.5302386283874512
Fit_time,train,0.5598905086517334
Fit_time,train,0.5422251224517822
Fit_time,train,0.4473264217376709
Fit_time,train,0.4787273406982422
Fit_time,train,0.43369221687316895
Fit_time,train,0.435260534286499
Fit_time,train,0.446244478225708
Fit_time,train,0.5287015438079834
Fit_time,test,0.0039997100830078125
Fit_time,test,0.003998994827270508
Fit_time,test,0.00500035285949707
Fit_time,test,0.004000186920166016
Fit_time,test,0.003999948501586914
Fit_time,test,0.0040013790130615234
Fit_time,test,0.0030002593994140625
Fit_time,test,0.003000497817993164
Fit_time,test,0.0030002593994140625
Fit_time,test,0.004002809524536133
