metric,dataset,value
RMSE,train,1.050282025034502
RMSE,train,1.0418347891583193
RMSE,train,1.036979399814759
RMSE,train,1.0343250135538715
RMSE,train,0.9823441676307586
RMSE,train,0.9481655857338437
RMSE,train,1.0469646283701919
RMSE,train,1.012159858618027
RMSE,train,1.0164828277999334
RMSE,train,1.014356643980076
RMSE,test,1.77516089307451
RMSE,test,1.9761525082082139
RMSE,test,1.769514995448992
RMSE,test,1.8733092895493983
RMSE,test,2.2246338148628695
RMSE,test,2.2563113762111087
RMSE,test,1.8823849455850057
RMSE,test,2.0938972941216885
RMSE,test,2.1940157379080403
RMSE,test,2.0606617382046566
R2,train,0.874660390576214
R2,train,0.8736102197839695
R2,train,0.8772294014049073
R2,train,0.8776110102511676
R2,train,0.8869830611760233
R2,train,0.8945493539829553
R2,train,0.8722196259796997
R2,train,0.8812561530650581
R2,train,0.8814259074502576
R2,train,0.8818014486003759
R2,test,0.5620039614180596
R2,test,0.5793802325461673
R2,test,0.5956602424877554
R2,test,0.5536124047645732
R2,test,0.4914892955333505
R2,test,0.4765496250571052
R2,test,0.6194138442328909
R2,test,0.5087497978429648
R2,test,0.40875490457966335
R2,test,0.4817284168813587
MAE,train,0.5660475331176469
MAE,train,0.5612439338845924
MAE,train,0.5606320432998819
MAE,train,0.5536115735689934
MAE,train,0.5376616188398163
MAE,train,0.5223709926067837
MAE,train,0.5600533047453358
MAE,train,0.5434364006579498
MAE,train,0.548989369614747
MAE,train,0.5496928336172483
MAE,test,1.305925823856122
MAE,test,1.4749470134394669
MAE,test,1.3655728958590236
MAE,test,1.4121939162616335
MAE,test,1.575764936864758
MAE,test,1.629887433690582
MAE,test,1.3781044791734363
MAE,test,1.6010945142021675
MAE,test,1.539363845852165
MAE,test,1.5876705968462808
