metric,dataset,value
RMSE,train,1.3289816880498435
RMSE,train,1.278078913487557
RMSE,train,1.2797250472996258
RMSE,train,1.3422323311673952
RMSE,train,1.28342595239087
RMSE,train,1.2610570563411365
RMSE,train,1.2879007983201574
RMSE,train,1.3334191941545788
RMSE,train,1.3178260384279947
RMSE,train,1.2887549239262193
RMSE,test,2.0465335688397333
RMSE,test,2.315098182769781
RMSE,test,2.1074634192000925
RMSE,test,1.9384057003935233
RMSE,test,2.3671203434947885
RMSE,test,2.2137359430332837
RMSE,test,2.4056853177209856
RMSE,test,2.1102476108540467
RMSE,test,2.2216195498500904
RMSE,test,2.437189521018371
R2,train,0.7993152068862247
R2,train,0.8097916460771348
R2,train,0.8130233149335515
R2,train,0.7938972975816808
R2,train,0.807088627098199
R2,train,0.8134692908443167
R2,train,0.8066407463017664
R2,train,0.7939150390883536
R2,train,0.80070064827963
R2,train,0.8092030302616442
R2,test,0.41785324044839256
R2,test,0.4227185648042757
R2,test,0.4264674884059654
R2,test,0.5220499619996714
R2,test,0.42426357513351
R2,test,0.4961177244169628
R2,test,0.37839608687581794
R2,test,0.5010479339886937
R2,test,0.3937839211548029
R2,test,0.27502574095499743
MAE,train,1.015811180417676
MAE,train,0.9890401733712131
MAE,train,0.9862578013043043
MAE,train,1.03806221179345
MAE,train,0.9799157060200319
MAE,train,0.9677788313581271
MAE,train,0.9895298121810726
MAE,train,1.023329276985881
MAE,train,1.0197730189376575
MAE,train,0.987546108611908
MAE,test,1.6084286513694657
MAE,test,1.7148620318164214
MAE,test,1.5904999843364598
MAE,test,1.441442449225324
MAE,test,1.7409706073062685
MAE,test,1.6606605635598624
MAE,test,1.8862921273335977
MAE,test,1.6726058347016934
MAE,test,1.6249647811206192
MAE,test,1.824106327235986
Fit_time,train,0.74102783203125
Fit_time,train,0.5543549060821533
Fit_time,train,0.7195231914520264
Fit_time,train,0.7108776569366455
Fit_time,train,0.7069568634033203
Fit_time,train,0.7265274524688721
Fit_time,train,0.706850528717041
Fit_time,train,0.6850869655609131
Fit_time,train,0.7054505348205566
Fit_time,train,0.7174983024597168
Fit_time,test,0.004000186920166016
Fit_time,test,0.004002809524536133
Fit_time,test,0.0030002593994140625
Fit_time,test,0.0029990673065185547
Fit_time,test,0.003999233245849609
Fit_time,test,0.0030019283294677734
Fit_time,test,0.003000497817993164
Fit_time,test,0.003000974655151367
Fit_time,test,0.003001689910888672
Fit_time,test,0.003000497817993164
