metric,dataset,value
RMSE,train,0.9226757444897139
RMSE,train,0.9200421354976623
RMSE,train,0.9362869208899931
RMSE,train,0.9195428390000123
RMSE,train,0.9219180411002361
RMSE,train,0.9132769548948214
RMSE,train,0.9216486072403012
RMSE,train,0.8981115877277229
RMSE,train,0.928631872597194
RMSE,train,0.9230888508660827
RMSE,test,1.7620774388611922
RMSE,test,1.906618969926323
RMSE,test,1.6366155961975868
RMSE,test,1.6694352602338047
RMSE,test,1.8441006278353687
RMSE,test,1.7721105512811417
RMSE,test,1.7649987734023964
RMSE,test,1.8733188243342827
RMSE,test,2.0247779868827447
RMSE,test,1.8531212666846821
R2,train,0.903266995021071
R2,train,0.9014334212265086
R2,train,0.8999143004936676
R2,train,0.9032675409605899
R2,train,0.9004592690736054
R2,train,0.9021668884760288
R2,train,0.900978185852944
R2,train,0.9065082056397528
R2,train,0.9010360802847521
R2,train,0.9021146250280614
R2,test,0.5684364863855399
R2,test,0.6084595978538162
R2,test,0.6541153231706032
R2,test,0.6454868836499278
R2,test,0.6505763770451122
R2,test,0.6771066715246465
R2,test,0.665400783008093
R2,test,0.6067983014862762
R2,test,0.4964496579298906
R2,test,0.5808671864744126
MAE,train,0.667588154773094
MAE,train,0.6607973908647102
MAE,train,0.6725913939204972
MAE,train,0.6654733267586944
MAE,train,0.6581934228763705
MAE,train,0.66072645824241
MAE,train,0.6598091748164482
MAE,train,0.6443488573954615
MAE,train,0.6735617050386158
MAE,train,0.6646103608639047
MAE,test,1.2967053480426596
MAE,test,1.3942974589390915
MAE,test,1.2416092072652525
MAE,test,1.2027780851992285
MAE,test,1.3350709288993459
MAE,test,1.3226780128771383
MAE,test,1.3205396601826986
MAE,test,1.4441245588360434
MAE,test,1.450005058868273
MAE,test,1.4278049538895792
Fit_time,train,3.47163724899292
Fit_time,train,3.3942923545837402
Fit_time,train,3.458533525466919
Fit_time,train,3.576611280441284
Fit_time,train,3.5396459102630615
Fit_time,train,3.5476624965667725
Fit_time,train,3.355703115463257
Fit_time,train,3.695775032043457
Fit_time,train,3.5483195781707764
Fit_time,train,3.534130096435547
Fit_time,test,0.005997657775878906
Fit_time,test,0.005999565124511719
Fit_time,test,0.006000041961669922
Fit_time,test,0.0060007572174072266
Fit_time,test,0.00599980354309082
Fit_time,test,0.006003618240356445
Fit_time,test,0.005999088287353516
Fit_time,test,0.006000041961669922
Fit_time,test,0.005505800247192383
Fit_time,test,0.0060024261474609375
