metric,dataset,value
RMSE,train,1.5263464209767674
RMSE,train,1.5351599276607013
RMSE,train,1.5114739212165904
RMSE,train,1.5067023177106267
RMSE,train,1.4848538576947081
RMSE,train,1.48605903717275
RMSE,train,1.5143858513042698
RMSE,train,1.480827730393337
RMSE,train,1.4814474044769819
RMSE,train,1.4916869026540203
RMSE,test,1.7509742724689226
RMSE,test,2.058000585679596
RMSE,test,1.8374972067314008
RMSE,test,1.8089925510791696
RMSE,test,2.093183192800672
RMSE,test,2.095828102317524
RMSE,test,2.0475183628823546
RMSE,test,1.9713168055622858
RMSE,test,2.2093743215085477
RMSE,test,2.2017485344532397
R2,train,0.7352824731712717
R2,train,0.7255763737687932
R2,train,0.7391712668270444
R2,train,0.7402932679129897
R2,train,0.7417837194633359
R2,train,0.7409682531205701
R2,train,0.7326542877303419
R2,train,0.7458313556462074
R2,train,0.748138264186194
R2,train,0.7443851087162163
R2,test,0.573858069621658
R2,test,0.5438163128238185
R2,test,0.5639951434968744
R2,test,0.5837380627974524
R2,test,0.5498082741487993
R2,test,0.5483637759359246
R2,test,0.549710608698021
R2,test,0.5645835432486006
R2,test,0.40044824528457423
R2,test,0.40833018400232823
MAE,train,1.1383728543969935
MAE,train,1.1528313636496643
MAE,train,1.1211433986213846
MAE,train,1.1176495618640956
MAE,train,1.1021479760608746
MAE,train,1.1069438183369142
MAE,train,1.1225374156239118
MAE,train,1.106332612975038
MAE,train,1.1080799963283692
MAE,train,1.106765404041563
MAE,test,1.2843994450012732
MAE,test,1.5123150805244017
MAE,test,1.43269940884431
MAE,test,1.360349886655872
MAE,test,1.5716462810641905
MAE,test,1.5868675081454218
MAE,test,1.589518879984789
MAE,test,1.5101252991934828
MAE,test,1.5642013233897556
MAE,test,1.6529075993262519
Fit_time,train,1.162336826324463
Fit_time,train,1.0352821350097656
Fit_time,train,1.176452398300171
Fit_time,train,1.2764043807983398
Fit_time,train,1.2160899639129639
Fit_time,train,1.3810396194458008
Fit_time,train,1.2752692699432373
Fit_time,train,1.3445382118225098
Fit_time,train,1.547461986541748
Fit_time,train,1.4171667098999023
Fit_time,test,0.004030466079711914
Fit_time,test,0.004999876022338867
Fit_time,test,0.004999637603759766
Fit_time,test,0.004999876022338867
Fit_time,test,0.005000114440917969
Fit_time,test,0.0050029754638671875
Fit_time,test,0.005003929138183594
Fit_time,test,0.00500035285949707
Fit_time,test,0.014384269714355469
Fit_time,test,0.005002021789550781
