metric,dataset,value
RMSE,train,1.0168644997795626
RMSE,train,0.9798125238023606
RMSE,train,1.003505563827592
RMSE,train,0.9922000255144722
RMSE,train,0.9675446804895179
RMSE,train,0.966641327503368
RMSE,train,0.9863726523873089
RMSE,train,0.9913124641835405
RMSE,train,0.9931875395607801
RMSE,train,0.9890763447528779
RMSE,test,1.6640504049061056
RMSE,test,1.988452298884599
RMSE,test,1.7171129397639993
RMSE,test,1.665820077660714
RMSE,test,1.9774602934086445
RMSE,test,1.7948933587416092
RMSE,test,1.8155252380065303
RMSE,test,1.9961346251626306
RMSE,test,1.9642572649541372
RMSE,test,1.9092925233156497
R2,train,0.8825095295380334
R2,train,0.8882107042142866
R2,train,0.885027576782965
R2,train,0.8873770853485593
R2,train,0.8903627188983607
R2,train,0.8903997396169643
R2,train,0.8865819485130862
R2,train,0.8860972973449059
R2,train,0.8867984842785932
R2,train,0.8876196376479396
R2,test,0.6151179179086482
R2,test,0.5741279704881035
R2,test,0.6192537158610514
R2,test,0.6470206262014218
R2,test,0.5982105079265261
R2,test,0.6687508669464565
R2,test,0.6459694942244865
R2,test,0.553551213529053
R2,test,0.5261020714746498
R2,test,0.5550728310502594
MAE,train,0.6927567454077093
MAE,train,0.6656448683115631
MAE,train,0.6789313922606057
MAE,train,0.6833667125984497
MAE,train,0.6639483643964603
MAE,train,0.672897993858688
MAE,train,0.6761470862241785
MAE,train,0.6808344614574114
MAE,train,0.680687332895096
MAE,train,0.6763234058190299
MAE,test,1.222045275332157
MAE,test,1.410841731516592
MAE,test,1.2522622840611868
MAE,test,1.2150018101525273
MAE,test,1.3765129903005209
MAE,test,1.286596596704357
MAE,test,1.3003599850250491
MAE,test,1.4942171044699701
MAE,test,1.3978938157551302
MAE,test,1.4199030619312127
Fit_time,train,2.000527858734131
Fit_time,train,1.9187123775482178
Fit_time,train,2.1760127544403076
Fit_time,train,2.076343297958374
Fit_time,train,2.0307512283325195
Fit_time,train,2.0244290828704834
Fit_time,train,1.9100391864776611
Fit_time,train,2.1023147106170654
Fit_time,train,1.9014208316802979
Fit_time,train,2.0350451469421387
Fit_time,test,0.005003929138183594
Fit_time,test,0.0040013790130615234
Fit_time,test,0.0049974918365478516
Fit_time,test,0.005000114440917969
Fit_time,test,0.005436420440673828
Fit_time,test,0.005506038665771484
Fit_time,test,0.005509614944458008
Fit_time,test,0.005000114440917969
Fit_time,test,0.003999948501586914
Fit_time,test,0.005000591278076172
