metric,dataset,value
RMSE,train,1.6976709642702104
RMSE,train,1.6935778287872758
RMSE,train,1.7065169217814986
RMSE,train,1.718658800784486
RMSE,train,1.6711881320353454
RMSE,train,1.7002852318362254
RMSE,train,1.692771943585052
RMSE,train,1.6961496968915686
RMSE,train,1.6845557822241517
RMSE,train,1.654487780827954
RMSE,test,2.039577444540045
RMSE,test,2.4060602688219164
RMSE,test,2.032551769467556
RMSE,test,2.0029055424483713
RMSE,test,2.4903572783079424
RMSE,test,2.485499072626149
RMSE,test,2.2121472531342716
RMSE,test,2.205292383028045
RMSE,test,2.2907100088442904
RMSE,test,2.6251993152236555
R2,train,0.6725209566282802
R2,train,0.6660168419511887
R2,train,0.6675125067998945
R2,train,0.6620848778577583
R2,train,0.6729102886931615
R2,train,0.660902620597714
R2,train,0.6659611029822683
R2,train,0.6665419135365984
R2,train,0.6743429302419554
R2,train,0.6855454191178285
R2,test,0.42180392391077204
R2,test,0.37646366429831657
R2,test,0.4665162644090969
R2,test,0.489713498054672
R2,test,0.36275513302587825
R2,test,0.3648085262082965
R2,test,0.47438933360455726
R2,test,0.4550905424942522
R2,test,0.3554920170230842
R2,test,0.15885949462463866
MAE,train,1.2957413773487778
MAE,train,1.3012168737517693
MAE,train,1.295040345843148
MAE,train,1.3023013353352786
MAE,train,1.2781582167971426
MAE,train,1.2998515025403674
MAE,train,1.2899061322731626
MAE,train,1.273871185224978
MAE,train,1.2870669537656496
MAE,train,1.2558069394571838
MAE,test,1.5999208166391319
MAE,test,1.780404037267138
MAE,test,1.6021182036447734
MAE,test,1.5376983902727792
MAE,test,1.8418877572383432
MAE,test,1.8357627357417547
MAE,test,1.7504576912336713
MAE,test,1.7978058084686392
MAE,test,1.6356163414119234
MAE,test,2.0367323711539194
Fit_time,train,0.6282267570495605
Fit_time,train,0.4889206886291504
Fit_time,train,0.57279372215271
Fit_time,train,0.6079518795013428
Fit_time,train,0.5582737922668457
Fit_time,train,0.5190601348876953
Fit_time,train,0.5557935237884521
Fit_time,train,0.5250329971313477
Fit_time,train,0.5323343276977539
Fit_time,train,0.5153336524963379
Fit_time,test,0.003000020980834961
Fit_time,test,0.002999544143676758
Fit_time,test,0.003001689910888672
Fit_time,test,0.0030002593994140625
Fit_time,test,0.0029997825622558594
Fit_time,test,0.0039997100830078125
Fit_time,test,0.004000186920166016
Fit_time,test,0.003000020980834961
Fit_time,test,0.004000425338745117
Fit_time,test,0.003999471664428711
