metric,dataset,value
RMSE,train,1.0260576451672245
RMSE,train,1.0189117456867687
RMSE,train,1.0529087635536705
RMSE,train,1.0382100583798894
RMSE,train,1.0606636711626536
RMSE,train,1.0359669100895452
RMSE,train,1.041652185653599
RMSE,train,1.0348930377039185
RMSE,train,1.0553391510304198
RMSE,train,1.0338403798453617
RMSE,test,1.7848130767823753
RMSE,test,2.2060218981849395
RMSE,test,1.8109177841616082
RMSE,test,1.8246656359974085
RMSE,test,2.0908070739631586
RMSE,test,2.1052584475463023
RMSE,test,1.9036219166958523
RMSE,test,2.086812454072974
RMSE,test,2.2084070033615375
RMSE,test,2.110478057307875
R2,train,0.8803755393613433
R2,train,0.8791108329514367
R2,train,0.8734285963857245
R2,train,0.8766898690300109
R2,train,0.8682436406752835
R2,train,0.8741153908843133
R2,train,0.8735130864669832
R2,train,0.8758622624650039
R2,train,0.8721873565382041
R2,train,0.8772171303245635
R2,test,0.557227930378543
R2,test,0.47583453780731555
R2,test,0.5765175478996223
R2,test,0.576493841612488
R2,test,0.5508297823408588
R2,test,0.5442902857932762
R2,test,0.6107778950608702
R2,test,0.5120685288856425
R2,test,0.40097312721790335
R2,test,0.45636718396877374
MAE,train,0.7764200728598207
MAE,train,0.77324701484613
MAE,train,0.7922823284332697
MAE,train,0.7861501125359077
MAE,train,0.8044749452764625
MAE,train,0.7824157534515341
MAE,train,0.7849751826206842
MAE,train,0.7754171082090598
MAE,train,0.7955139384612964
MAE,train,0.7734336658668215
MAE,test,1.3213149706162608
MAE,test,1.5483398390302179
MAE,test,1.3501348155763568
MAE,test,1.3588868999022226
MAE,test,1.525080673728966
MAE,test,1.6080609863125286
MAE,test,1.5007340451114626
MAE,test,1.6171589603122256
MAE,test,1.4820673799995607
MAE,test,1.5789972787834943
Fit_time,train,2.4398813247680664
Fit_time,train,1.645256519317627
Fit_time,train,2.213442087173462
Fit_time,train,2.275949239730835
Fit_time,train,2.223560094833374
Fit_time,train,2.14005184173584
Fit_time,train,2.0633773803710938
Fit_time,train,2.005518674850464
Fit_time,train,2.103933811187744
Fit_time,train,2.3000760078430176
Fit_time,test,0.0030007362365722656
Fit_time,test,0.00400090217590332
Fit_time,test,0.0035085678100585938
Fit_time,test,0.0030002593994140625
Fit_time,test,0.002999544143676758
Fit_time,test,0.0029997825622558594
Fit_time,test,0.0029997825622558594
Fit_time,test,0.003999233245849609
Fit_time,test,0.004000425338745117
Fit_time,test,0.0039997100830078125
