metric,dataset,value
RMSE,train,1.260256043236836
RMSE,train,1.210332264687508
RMSE,train,1.2818300891837535
RMSE,train,1.2632703712365771
RMSE,train,1.2598715280965955
RMSE,train,1.23528166711155
RMSE,train,1.2132254620106326
RMSE,train,1.2384101349933396
RMSE,train,1.2617500785068916
RMSE,train,1.2384002437193915
RMSE,test,2.0075956672862447
RMSE,test,2.3700262449777982
RMSE,test,1.8873789665421046
RMSE,test,1.8826649602845127
RMSE,test,2.451265339790357
RMSE,test,2.2899731818836058
RMSE,test,2.0867138220933317
RMSE,test,2.153872475235666
RMSE,test,2.160631017817637
RMSE,test,2.349492367636119
R2,train,0.8195345583603268
R2,train,0.8294218227551278
R2,train,0.8124076866486465
R2,train,0.8174335732616966
R2,train,0.8141045668790999
R2,train,0.8210165560998303
R2,train,0.8284134789402133
R2,train,0.8222367873116767
R2,train,0.817300904119298
R2,train,0.8238215213852166
R2,test,0.43979466751668694
R2,test,0.39500041928792506
R2,test,0.5400017565273891
R2,test,0.5491425781319332
R2,test,0.3826041870655247
R2,test,0.4608144538417773
R2,test,0.5323059013544547
R2,test,0.4802051605676695
R2,test,0.42661109237216466
R2,test,0.32626042298913105
MAE,train,0.9621391198338125
MAE,train,0.9176168093447388
MAE,train,0.9778114185777788
MAE,train,0.9664076936041469
MAE,train,0.9620358526280453
MAE,train,0.9509611568988136
MAE,train,0.9280651025624267
MAE,train,0.9431719199317611
MAE,train,0.9629268065236148
MAE,train,0.9387276710277208
MAE,test,1.5048271047975579
MAE,test,1.7841742388444088
MAE,test,1.4158611797518799
MAE,test,1.3842773579071705
MAE,test,1.7505875048513346
MAE,test,1.7028744532567435
MAE,test,1.624488878230395
MAE,test,1.7345692518318307
MAE,test,1.5821069377240078
MAE,test,1.824115958792569
Fit_time,train,1.2507789134979248
Fit_time,train,0.8476788997650146
Fit_time,train,1.1701900959014893
Fit_time,train,1.2091188430786133
Fit_time,train,1.1906371116638184
Fit_time,train,1.161409616470337
Fit_time,train,1.2909948825836182
Fit_time,train,1.1865875720977783
Fit_time,train,1.2198715209960938
Fit_time,train,1.2292249202728271
Fit_time,test,0.004997730255126953
Fit_time,test,0.004106760025024414
Fit_time,test,0.0030024051666259766
Fit_time,test,0.0042073726654052734
Fit_time,test,0.0029997825622558594
Fit_time,test,0.0039997100830078125
Fit_time,test,0.00299835205078125
Fit_time,test,0.0029997825622558594
Fit_time,test,0.003506183624267578
Fit_time,test,0.003000020980834961
