metric,dataset,value
RMSE,train,0.6091351733064445
RMSE,train,0.6098339624045805
RMSE,train,0.6113083153597666
RMSE,train,0.6077107752212574
RMSE,train,0.6114482556529117
RMSE,train,0.6083562510492612
RMSE,train,0.610309568406417
RMSE,train,0.6144009976615014
RMSE,train,0.6109238884149438
RMSE,train,0.6081804503068258
RMSE,test,0.8043084323596481
RMSE,test,0.7857993920601681
RMSE,test,0.9062107426022457
RMSE,test,0.7947657354883377
RMSE,test,0.8812067959129809
RMSE,test,0.8541657134645402
RMSE,test,0.7950687098231138
RMSE,test,0.8018934989158225
RMSE,test,0.8869257925958837
RMSE,test,0.8201179767488976
R2,train,0.7374032734874736
R2,train,0.7388825241361785
R2,train,0.7332114489470236
R2,train,0.7386193119344635
R2,train,0.7356125776038325
R2,train,0.7363566759501976
R2,train,0.7394417832580437
R2,train,0.734367919397873
R2,train,0.7334749460240797
R2,train,0.7392506476446628
R2,test,0.5438280872562589
R2,test,0.5307707900621143
R2,test,0.46060738154426095
R2,test,0.5557877583927149
R2,test,0.4451545603516671
R2,test,0.515084339300538
R2,test,0.5032573930203076
R2,test,0.5232029930293374
R2,test,0.4877607857649543
R2,test,0.5094908807012941
MAE,train,0.46850170308931044
MAE,train,0.46776143952644766
MAE,train,0.469187028989646
MAE,train,0.4644408140116991
MAE,train,0.4707152356413298
MAE,train,0.4672179856865021
MAE,train,0.4658814972134642
MAE,train,0.472461977004583
MAE,train,0.4700939017333486
MAE,train,0.46585998365196096
MAE,test,0.6089820916669709
MAE,test,0.6199411462380949
MAE,test,0.680817577782699
MAE,test,0.6131427082981382
MAE,test,0.6819064292669297
MAE,test,0.6670050919073017
MAE,test,0.6070410412148624
MAE,test,0.6454082829665319
MAE,test,0.6665659386427663
MAE,test,0.6373169805651749
