metric,dataset,value
RMSE,train,0.46873168636882423
RMSE,train,0.47664811667928636
RMSE,train,0.46804529738032824
RMSE,train,0.4746977559568469
RMSE,train,0.47781362971720465
RMSE,train,0.47605965477435075
RMSE,train,0.4733612864158531
RMSE,train,0.4712026353038685
RMSE,train,0.46575229612083857
RMSE,train,0.4819720866784227
RMSE,test,0.7874470676361154
RMSE,test,0.7504933856729796
RMSE,test,0.8171212858588555
RMSE,test,0.7751082514137427
RMSE,test,0.7846814824425619
RMSE,test,0.7773419099448089
RMSE,test,0.7318303851201661
RMSE,test,0.7565488545207779
RMSE,test,0.8027181861444268
RMSE,test,0.7089453623480301
R2,train,0.844507094633018
R2,train,0.8404824438581873
R2,train,0.8436051838624192
R2,train,0.8405171527253037
R2,train,0.8385498555714119
R2,train,0.838555377637406
R2,train,0.843256374232577
R2,train,0.8437600393688963
R2,train,0.8450920043685141
R2,train,0.8362421602772786
R2,test,0.5627538059056838
R2,test,0.571988536846363
R2,test,0.5614494758760112
R2,test,0.5774900191789811
R2,test,0.5600501711791648
R2,test,0.598388530725925
R2,test,0.5791348526061628
R2,test,0.5756012545525402
R2,test,0.580410648682691
R2,test,0.633461199329362
MAE,train,0.36600600204146383
MAE,train,0.3711752568968588
MAE,train,0.36534864968623204
MAE,train,0.36858284720413637
MAE,train,0.3719552162472301
MAE,train,0.3702504103537486
MAE,train,0.3673932442495313
MAE,train,0.3686124710807842
MAE,train,0.3626095869385037
MAE,train,0.3741464933365772
MAE,test,0.5923929609273161
MAE,test,0.576817851601328
MAE,test,0.616982032485945
MAE,test,0.5976591972568737
MAE,test,0.6008874624971832
MAE,test,0.599480257350898
MAE,test,0.5643247437400257
MAE,test,0.5818167331080383
MAE,test,0.6076372892211758
MAE,test,0.5495365207332765
