metric,dataset,value
RMSE,train,0.6017374304539101
RMSE,train,0.6087632899233827
RMSE,train,0.6024476512153019
RMSE,train,0.599030081280214
RMSE,train,0.5991220388739235
RMSE,train,0.6253196375800292
RMSE,train,0.7004522174192054
RMSE,train,0.6375568233671436
RMSE,train,0.5889987324165085
RMSE,train,0.6362567700023993
RMSE,test,0.7387135768760726
RMSE,test,0.6212756532327083
RMSE,test,0.7132500565425558
RMSE,test,0.6959017068045771
RMSE,test,0.7158598218893762
RMSE,test,0.6822711247465245
RMSE,test,0.7878618453542218
RMSE,test,0.6381322231500397
RMSE,test,0.7101524126307988
RMSE,test,0.66314993593034
R2,train,0.743742823600769
R2,train,0.7397986054420471
R2,train,0.7408893704414368
R2,train,0.746033251285553
R2,train,0.7461646795272827
R2,train,0.7214488387107849
R2,train,0.6567888259887695
R2,train,0.71396803855896
R2,train,0.7522620558738708
R2,train,0.7146202325820923
R2,test,0.615199625492096
R2,test,0.7066876292228699
R2,test,0.6658586263656616
R2,test,0.6594287157058716
R2,test,0.6338387727737427
R2,test,0.6906173229217529
R2,test,0.5122219920158386
R2,test,0.6980594396591187
R2,test,0.6716012954711914
R2,test,0.679286003112793
MAE,train,0.46392518281936646
MAE,train,0.47184062004089355
MAE,train,0.46535760164260864
MAE,train,0.46509331464767456
MAE,train,0.46730491518974304
MAE,train,0.48589906096458435
MAE,train,0.5430019497871399
MAE,train,0.4908314645290375
MAE,train,0.4595402479171753
MAE,train,0.49273523688316345
MAE,test,0.5444118976593018
MAE,test,0.4761580228805542
MAE,test,0.5325198173522949
MAE,test,0.5269409418106079
MAE,test,0.5280258655548096
MAE,test,0.5234907269477844
MAE,test,0.6108351945877075
MAE,test,0.503219723701477
MAE,test,0.5194078683853149
MAE,test,0.5122145414352417
