metric,dataset,value
RMSE,train,0.5791559857599292
RMSE,train,0.5868783137836379
RMSE,train,0.5833689341911865
RMSE,train,0.5752943122563643
RMSE,train,0.5844801383588756
RMSE,train,0.5800070355005893
RMSE,train,0.5851768943488068
RMSE,train,0.5751070632171247
RMSE,train,0.5747107014308203
RMSE,train,0.5771795383768841
RMSE,test,0.7837526897851408
RMSE,test,0.756352766531996
RMSE,test,0.7817020493327919
RMSE,test,0.7881930620724111
RMSE,test,0.8108431196542416
RMSE,test,0.7833186014250997
RMSE,test,0.7504756121720294
RMSE,test,0.8005392043334347
RMSE,test,0.7842895874416884
RMSE,test,0.7567236202444824
R2,train,0.7626151213369529
R2,train,0.7581707391791295
R2,train,0.7570408956056788
R2,train,0.7657606879491173
R2,train,0.7584200509278091
R2,train,0.7603555629601735
R2,train,0.7604596085257312
R2,train,0.7672583534759663
R2,train,0.764135601381156
R2,train,0.7651556156244648
R2,test,0.5668469403801137
R2,test,0.5652791581711395
R2,test,0.5986446212419236
R2,test,0.5631046044300028
R2,test,0.5302248747085505
R2,test,0.5921891084355966
R2,test,0.5574164624683245
R2,test,0.5248121302337541
R2,test,0.5994551506625141
R2,test,0.5823918140575937
MAE,train,0.45411405509065944
MAE,train,0.4596367804778293
MAE,train,0.45426796244031536
MAE,train,0.4470545356547866
MAE,train,0.45546480376324916
MAE,train,0.4509004249786325
MAE,train,0.45615038778153894
MAE,train,0.44845746335916303
MAE,train,0.4478286130658604
MAE,train,0.4514341315119281
MAE,test,0.5842776157387666
MAE,test,0.6012782098257117
MAE,test,0.6120243406772614
MAE,test,0.6051492823247399
MAE,test,0.621274329642845
MAE,test,0.605589830031389
MAE,test,0.582814388097955
MAE,test,0.6195837860755932
MAE,test,0.6076620259334501
MAE,test,0.5899027271094841
