metric,dataset,value
RMSE,train,0.5322296439959419
RMSE,train,0.5325818085332088
RMSE,train,0.5266699337486842
RMSE,train,0.5290784354888964
RMSE,train,0.521109304511093
RMSE,train,0.5198160493064539
RMSE,train,0.5246943686737363
RMSE,train,0.521786511592336
RMSE,train,0.5270987979313051
RMSE,train,0.5338192450433512
RMSE,test,0.7831273417316239
RMSE,test,0.7341117427298129
RMSE,test,0.7594274653544356
RMSE,test,0.7370753913319651
RMSE,test,0.7967211991944234
RMSE,test,0.7824424304373325
RMSE,test,0.7589526416005854
RMSE,test,0.7882933915296587
RMSE,test,0.8046092005658588
RMSE,test,0.7457191649686734
R2,train,0.7995250689532176
R2,train,0.8008476750065748
R2,train,0.8019733528998286
R2,train,0.8018839116759842
R2,train,0.8079656033158055
R2,train,0.8075135348172999
R2,train,0.807417321913213
R2,train,0.8084146062384663
R2,train,0.8015971634373517
R2,train,0.7991153372571074
R2,test,0.5675378811921914
R2,test,0.5904697329239259
R2,test,0.6211919618677839
R2,test,0.6179360374700549
R2,test,0.5464459060882425
R2,test,0.5931009015108895
R2,test,0.5473615509318691
R2,test,0.5392387934222429
R2,test,0.5784314133347388
R2,test,0.5944494152392268
MAE,train,0.4099669464137609
MAE,train,0.41047880573826584
MAE,train,0.40475099498949446
MAE,train,0.40584820828137885
MAE,train,0.4010195256427348
MAE,train,0.40015340743156586
MAE,train,0.40517039937371274
MAE,train,0.40039424193765466
MAE,train,0.4071299494126692
MAE,train,0.4105007057798434
MAE,test,0.6001764395517962
MAE,test,0.5629985770796027
MAE,test,0.5697481834875686
MAE,test,0.5751706085365798
MAE,test,0.6159972621070487
MAE,test,0.5919776272698489
MAE,test,0.5625292419992324
MAE,test,0.61499964965897
MAE,test,0.623898727715357
MAE,test,0.5790423771072937
