metric,dataset,value
RMSE,train,0.6255230190947126
RMSE,train,0.6410233690399488
RMSE,train,0.632980667503382
RMSE,train,0.6392166494605216
RMSE,train,0.6401011551315949
RMSE,train,0.6424600732351432
RMSE,train,0.6377969423046632
RMSE,train,0.6343576296536508
RMSE,train,0.6360033032039982
RMSE,train,0.6339646908718531
RMSE,test,0.8667213505137559
RMSE,test,0.8025660327035217
RMSE,test,0.9589205219544112
RMSE,test,0.8774945489442133
RMSE,test,0.9046389512884514
RMSE,test,0.8496851575699593
RMSE,test,0.7904796782424927
RMSE,test,0.8325141163535167
RMSE,test,0.9015405177339387
RMSE,test,0.8032949368760041
R2,train,0.7230836841422081
R2,train,0.7114902798773746
R2,train,0.713959536133433
R2,train,0.710814988283681
R2,train,0.7102532376123915
R2,train,0.7059690043300915
R2,train,0.7154429949857757
R2,train,0.7168314383584719
R2,train,0.7111432185464213
R2,train,0.7166726711740263
R2,test,0.4702849796998503
R2,test,0.5105332303268333
R2,test,0.39603494312034737
R2,test,0.4584967010530616
R2,test,0.41525446814604305
R2,test,0.5201582803938085
R2,test,0.5089751097446434
R2,test,0.48609440276015536
R2,test,0.4707403894338953
R2,test,0.5294080627660668
MAE,train,0.4916035792617059
MAE,train,0.4997714215439458
MAE,train,0.49557432762521286
MAE,train,0.5003435643857822
MAE,train,0.49928383711441787
MAE,train,0.5003699348567221
MAE,train,0.49871876579476665
MAE,train,0.4961061563856724
MAE,train,0.4954395614392541
MAE,train,0.49754462509984865
MAE,test,0.6500022849598102
MAE,test,0.6336238562891526
MAE,test,0.7385166637916118
MAE,test,0.6758188868113926
MAE,test,0.7050596530744008
MAE,test,0.6666346290139722
MAE,test,0.6183425227840855
MAE,test,0.6612137479160013
MAE,test,0.6874070051478964
MAE,test,0.6270723097869608
