metric,dataset,value
RMSE,train,0.36552576690994126
RMSE,train,0.3618962744156618
RMSE,train,0.3623289526862039
RMSE,train,0.3622462181765305
RMSE,train,0.3664866312510904
RMSE,train,0.36772151424496824
RMSE,train,0.3605939881859292
RMSE,train,0.3775065021712803
RMSE,train,0.3623434493313258
RMSE,train,0.3717938094103894
RMSE,test,0.7312765703509225
RMSE,test,0.6775473300828592
RMSE,test,0.7473344323504373
RMSE,test,0.6911432013692715
RMSE,test,0.7118732037743472
RMSE,test,0.7078452298510689
RMSE,test,0.696527705018773
RMSE,test,0.6828513992018707
RMSE,test,0.7187146717179574
RMSE,test,0.7101475865136733
R2,train,0.9054420590400696
R2,train,0.9080438017845154
R2,train,0.9062756299972534
R2,train,0.9071274399757385
R2,train,0.9050188064575195
R2,train,0.9036750197410583
R2,train,0.9090418815612793
R2,train,0.899717390537262
R2,train,0.9062427878379822
R2,train,0.9025542736053467
R2,test,0.6229085922241211
R2,test,0.6511482000350952
R2,test,0.6331601142883301
R2,test,0.6640703678131104
R2,test,0.6379057168960571
R2,test,0.6669889688491821
R2,test,0.6187596321105957
R2,test,0.6542576551437378
R2,test,0.6636346578598022
R2,test,0.6322169303894043
MAE,train,0.2857426404953003
MAE,train,0.28470516204833984
MAE,train,0.2813047170639038
MAE,train,0.28191372752189636
MAE,train,0.28576895594596863
MAE,train,0.28787973523139954
MAE,train,0.28232014179229736
MAE,train,0.2951990067958832
MAE,train,0.28194713592529297
MAE,train,0.2911412715911865
MAE,test,0.5434796214103699
MAE,test,0.5309160351753235
MAE,test,0.5569855570793152
MAE,test,0.5437114834785461
MAE,test,0.5469969511032104
MAE,test,0.5561578273773193
MAE,test,0.5298337340354919
MAE,test,0.5406147837638855
MAE,test,0.5381643772125244
MAE,test,0.5426684021949768
