metric,dataset,value
RMSE,train,0.416684575490729
RMSE,train,0.4124904515866355
RMSE,train,0.4107838869354826
RMSE,train,0.4043670261723013
RMSE,train,0.41998542482199547
RMSE,train,0.40616109682205337
RMSE,train,0.4149752399515359
RMSE,train,0.424789077647378
RMSE,train,0.41389622138644855
RMSE,train,0.4148915645824478
RMSE,test,0.80485010818876
RMSE,test,0.7423959539706044
RMSE,test,0.8064227976188667
RMSE,test,0.7771353130665621
RMSE,test,0.7870402719913229
RMSE,test,0.8052185676453991
RMSE,test,0.7895307756577665
RMSE,test,0.7579043224588448
RMSE,test,0.8305940707542776
RMSE,test,0.8080151095393932
R2,train,0.8771212100982666
R2,train,0.8805350661277771
R2,train,0.8795315623283386
R2,train,0.8842739462852478
R2,train,0.875264585018158
R2,train,0.8824838399887085
R2,train,0.879538357257843
R2,train,0.873023509979248
R2,train,0.8776661157608032
R2,train,0.8786534070968628
R2,test,0.543213427066803
R2,test,0.5811747312545776
R2,test,0.5728580951690674
R2,test,0.5752772092819214
R2,test,0.557401180267334
R2,test,0.5690672397613525
R2,test,0.5101532936096191
R2,test,0.574079155921936
R2,test,0.5507625937461853
R2,test,0.5238614082336426
MAE,train,0.3216855227947235
MAE,train,0.32133015990257263
MAE,train,0.3181680142879486
MAE,train,0.31409767270088196
MAE,train,0.32622548937797546
MAE,train,0.3151170313358307
MAE,train,0.32141149044036865
MAE,train,0.32840049266815186
MAE,train,0.31909632682800293
MAE,train,0.32069316506385803
MAE,test,0.6107791066169739
MAE,test,0.5724311470985413
MAE,test,0.5898641347885132
MAE,test,0.5934696197509766
MAE,test,0.6124767065048218
MAE,test,0.6223000884056091
MAE,test,0.5956823229789734
MAE,test,0.5844277739524841
MAE,test,0.6285030245780945
MAE,test,0.6110015511512756
