metric,dataset,value
RMSE,train,0.8753823244689312
RMSE,train,0.8892470659905639
RMSE,train,0.8652483598821517
RMSE,train,0.8765934068871446
RMSE,train,0.8808108151767547
RMSE,train,0.8775574073437691
RMSE,train,0.8857776184678146
RMSE,train,0.8753792774611291
RMSE,train,0.8727627167248706
RMSE,train,0.8818011147287336
RMSE,test,0.9710623252018761
RMSE,test,0.9817451783402699
RMSE,test,1.021836561898227
RMSE,test,1.0618653203786752
RMSE,test,0.9739125954271486
RMSE,test,0.978278880416455
RMSE,test,0.9220998809488313
RMSE,test,0.9316142979849092
RMSE,test,1.0537453727216404
RMSE,test,0.968220116353545
R2,train,0.457677654853736
R2,train,0.44478958207772934
R2,train,0.46552407059958967
R2,train,0.4561538943690192
R2,train,0.45136103670760375
R2,train,0.45140492857377135
R2,train,0.45114980795980464
R2,train,0.46077598908212036
R2,train,0.4560534878431306
R2,train,0.45184975348001033
R2,test,0.3350675810296103
R2,test,0.2675816500831111
R2,test,0.3141810794587936
R2,test,0.2070402801855481
R2,test,0.32227062418465036
R2,test,0.3639265086793345
R2,test,0.3318437731819237
R2,test,0.35646462368332676
R2,test,0.2769478627440457
R2,test,0.31633613499923674
MAE,train,0.6834122276896988
MAE,train,0.6918523535812673
MAE,train,0.6698323777308999
MAE,train,0.6816538972651086
MAE,train,0.6857493583546961
MAE,train,0.6780577014468063
MAE,train,0.689859527090478
MAE,train,0.679531052504694
MAE,train,0.6789562651466339
MAE,train,0.6866538463194439
MAE,test,0.7566963013478689
MAE,test,0.7761411850282125
MAE,test,0.7909461314473833
MAE,test,0.818009227719271
MAE,test,0.7492876544799125
MAE,test,0.7922679783758256
MAE,test,0.7109444740152034
MAE,test,0.7505701848621185
MAE,test,0.8175112518232667
MAE,test,0.7500474616859567
