metric,dataset,value
RMSE,train,0.6932844299220097
RMSE,train,0.6800178548567992
RMSE,train,0.6884722567779343
RMSE,train,0.6723767183589978
RMSE,train,0.6741720333875433
RMSE,train,0.6971273042431536
RMSE,train,0.6767555453726082
RMSE,train,0.6811091082552467
RMSE,train,0.670606674879444
RMSE,train,0.6960081009990117
RMSE,test,0.8682139457399041
RMSE,test,0.8182120293845847
RMSE,test,0.8406302087113627
RMSE,test,0.9011771068870008
RMSE,test,0.8936407819532863
RMSE,test,0.8953393499693312
RMSE,test,0.7809707218721119
RMSE,test,0.8071250235532349
RMSE,test,0.9087405628328076
RMSE,test,0.798751621353779
R2,train,0.6598387443178912
R2,train,0.6753216303691938
R2,train,0.661608480774974
R2,train,0.6800331707529073
R2,train,0.6785874461786285
R2,train,0.6538016331696734
R2,train,0.679618034258813
R2,train,0.6735549591127549
R2,train,0.678856179915227
R2,train,0.6585029819794217
R2,test,0.46845894667114885
R2,test,0.49126293164812995
R2,test,0.5358519055156226
R2,test,0.42887318220787685
R2,test,0.42938615473497055
R2,test,0.4672085032961091
R2,test,0.5207174759607072
R2,test,0.5169614861454819
R2,test,0.4622528953919999
R2,test,0.5347162038160924
MAE,train,0.5254735806926505
MAE,train,0.521265524328596
MAE,train,0.5234491669493941
MAE,train,0.5089518001263054
MAE,train,0.5122421198583317
MAE,train,0.5303862687099182
MAE,train,0.516926002007224
MAE,train,0.5173004825604139
MAE,train,0.5107527496373975
MAE,train,0.526408656719795
MAE,test,0.6665162898388824
MAE,test,0.6163264693175043
MAE,test,0.6400795464698757
MAE,test,0.6792664716718452
MAE,test,0.6837887877447265
MAE,test,0.6925705443079286
MAE,test,0.5894034042415399
MAE,test,0.6356693924293135
MAE,test,0.6776015728523149
MAE,test,0.6142583337036579
