metric,dataset,value
RMSE,train,0.8216270087139369
RMSE,train,0.8497679113041839
RMSE,train,0.8460766537842032
RMSE,train,0.8510653243089803
RMSE,train,0.857085072749451
RMSE,train,0.8502550149291328
RMSE,train,0.8310707171426132
RMSE,train,0.8464981465260222
RMSE,train,0.807924260685292
RMSE,train,0.8204764066159834
RMSE,test,0.8398618119537602
RMSE,test,0.8285303743120612
RMSE,test,0.7762270627034528
RMSE,test,0.8716100009736593
RMSE,test,0.8397286624565437
RMSE,test,0.8206736178497558
RMSE,test,0.7883674279583135
RMSE,test,0.7874141131598623
RMSE,test,0.8876270901658472
RMSE,test,0.7847782952371475
R2,train,0.5222382545471191
R2,train,0.49299371242523193
R2,train,0.4889468550682068
R2,train,0.4873683452606201
R2,train,0.48051947355270386
R2,train,0.48500943183898926
R2,train,0.5168517827987671
R2,train,0.4957699179649353
R2,train,0.5338720083236694
R2,train,0.5254406332969666
R2,test,0.5026078224182129
R2,test,0.47835081815719604
R2,test,0.6042470932006836
R2,test,0.4657350778579712
R2,test,0.49615806341171265
R2,test,0.5523661375045776
R2,test,0.5115958452224731
R2,test,0.5402661561965942
R2,test,0.4869503974914551
R2,test,0.5508531332015991
MAE,train,0.6447280049324036
MAE,train,0.661566436290741
MAE,train,0.6598536372184753
MAE,train,0.665348470211029
MAE,train,0.6715315580368042
MAE,train,0.6676749587059021
MAE,train,0.650995135307312
MAE,train,0.665920615196228
MAE,train,0.6322516798973083
MAE,train,0.6448121070861816
MAE,test,0.6316925883293152
MAE,test,0.6578231453895569
MAE,test,0.6187163591384888
MAE,test,0.6536890268325806
MAE,test,0.6610398888587952
MAE,test,0.6322778463363647
MAE,test,0.627074658870697
MAE,test,0.621412992477417
MAE,test,0.6641494035720825
MAE,test,0.6078709959983826
