metric,dataset,value
RMSE,train,0.8980957708201635
RMSE,train,0.9029711239148706
RMSE,train,0.9054057365128734
RMSE,train,0.9054715002641883
RMSE,train,0.8944985329587707
RMSE,train,0.908392675164564
RMSE,train,0.9056289452150287
RMSE,train,0.8756548270482868
RMSE,train,0.8969429522036234
RMSE,train,0.924538788641437
RMSE,test,0.8990048814541315
RMSE,test,0.9367625833139089
RMSE,test,0.895838353046873
RMSE,test,0.8937925928810612
RMSE,test,0.8765421968716486
RMSE,test,0.8509527700835351
RMSE,test,0.8635955859669108
RMSE,test,0.9084972274561613
RMSE,test,0.9550061345028202
RMSE,test,0.9419163948080514
R2,train,0.42916935682296753
R2,train,0.42751985788345337
R2,train,0.4147612452507019
R2,train,0.4197312593460083
R2,train,0.4341769218444824
R2,train,0.41217494010925293
R2,train,0.4262733459472656
R2,train,0.46043652296066284
R2,train,0.425495445728302
R2,train,0.3974284529685974
R2,test,0.43008852005004883
R2,test,0.3331613540649414
R2,test,0.4728844165802002
R2,test,0.43819481134414673
R2,test,0.4510130286216736
R2,test,0.5187255144119263
R2,test,0.4139389395713806
R2,test,0.38800573348999023
R2,test,0.4061037302017212
R2,test,0.3529778718948364
MAE,train,0.7138479351997375
MAE,train,0.7207202315330505
MAE,train,0.7174171805381775
MAE,train,0.7182859182357788
MAE,train,0.7066519856452942
MAE,train,0.7238296270370483
MAE,train,0.7147581577301025
MAE,train,0.6869701147079468
MAE,train,0.7125778794288635
MAE,train,0.7356119751930237
MAE,test,0.6905630826950073
MAE,test,0.7729774713516235
MAE,test,0.7086334228515625
MAE,test,0.7046743631362915
MAE,test,0.7133405208587646
MAE,test,0.6677247881889343
MAE,test,0.6813663840293884
MAE,test,0.731184184551239
MAE,test,0.7354315519332886
MAE,test,0.745423436164856
