metric,dataset,value
RMSE,train,0.6644829107661838
RMSE,train,0.6633377105056696
RMSE,train,0.6598163240149111
RMSE,train,0.6643962521978684
RMSE,train,0.6714552194861565
RMSE,train,0.6644402832442856
RMSE,train,0.6667193750979352
RMSE,train,0.6691436314888076
RMSE,train,0.6678870835212011
RMSE,train,0.6724506391997298
RMSE,test,0.8615175443026799
RMSE,test,0.760618097086517
RMSE,test,0.9396277637978367
RMSE,test,0.8376043845433541
RMSE,test,0.866312634960575
RMSE,test,0.8459852946973205
RMSE,test,0.8349353542857114
RMSE,test,0.8272468355899718
RMSE,test,0.8835818686173883
RMSE,test,0.7954962256335808
R2,train,0.6875147050759809
R2,train,0.6910543393159894
R2,train,0.6891916387971979
R2,train,0.6875834938965588
R2,train,0.6811727169435177
R2,train,0.6855057292294384
R2,train,0.6890499953408415
R2,train,0.6849239462334882
R2,train,0.6814556440406758
R2,train,0.6812287479501355
R2,test,0.47662671612357177
R2,test,0.5603622556803641
R2,test,0.4200931111490488
R2,test,0.5066102348013096
R2,test,0.4637520532433551
R2,test,0.5243280208321199
R2,test,0.4521927313872057
R2,test,0.492576747843116
R2,test,0.491616034994
R2,test,0.5385011006830743
MAE,train,0.5211443663427223
MAE,train,0.519473103368563
MAE,train,0.515346701624177
MAE,train,0.5188460007719282
MAE,train,0.5255746394431734
MAE,train,0.5226871244339018
MAE,train,0.5229004315780362
MAE,train,0.5227107327719718
MAE,train,0.5247548763570242
MAE,train,0.5268024231576185
MAE,test,0.658794745054841
MAE,test,0.6024102564577545
MAE,test,0.7097589936081853
MAE,test,0.6564481293729373
MAE,test,0.6884152247011661
MAE,test,0.6627608358057316
MAE,test,0.627022484298849
MAE,test,0.6557955743692666
MAE,test,0.6652657179636907
MAE,test,0.6234597736031329
