metric,dataset,value
RMSE,train,0.6017558424381307
RMSE,train,0.5976019624281109
RMSE,train,0.5958769079288228
RMSE,train,0.5955944295370957
RMSE,train,0.6105724286006216
RMSE,train,0.6080934584427021
RMSE,train,0.6091774813598
RMSE,train,0.6091799148478572
RMSE,train,0.6008802389654897
RMSE,train,0.6012557609948942
RMSE,test,0.7986103935089285
RMSE,test,0.8040367746156251
RMSE,test,0.8176591062347656
RMSE,test,0.8160681992575944
RMSE,test,0.8209263543094454
RMSE,test,0.8411823264297659
RMSE,test,0.7411399745947351
RMSE,test,0.80481984349867
RMSE,test,0.862140688599184
RMSE,test,0.7932298717636949
R2,train,0.7437271589115254
R2,train,0.7492524174785771
R2,train,0.7465106646619495
R2,train,0.7489380615366583
R2,train,0.7363694423597653
R2,train,0.7365843995971716
R2,train,0.7404075259479321
R2,train,0.738863336306758
R2,train,0.742166307225432
R2,train,0.7451545829118005
R2,test,0.5502685968792917
R2,test,0.508737642498376
R2,test,0.5608719874846685
R2,test,0.5316557838950866
R2,test,0.518468456580019
R2,test,0.5297138167186843
R2,test,0.5683591244621126
R2,test,0.5197166991028666
R2,test,0.5159897741964075
R2,test,0.541126958304422
MAE,train,0.46967216329864375
MAE,train,0.46763060855167504
MAE,train,0.46595000972866196
MAE,train,0.4631976098335468
MAE,train,0.4774844771946154
MAE,train,0.4738118496447643
MAE,train,0.4777170589075525
MAE,train,0.47660252976881956
MAE,train,0.4718647902593513
MAE,train,0.46904862528933283
MAE,test,0.618437240988229
MAE,test,0.6325434711439268
MAE,test,0.6310058627984353
MAE,test,0.636939914730617
MAE,test,0.6536784393923357
MAE,test,0.6677690436042054
MAE,test,0.5814193177534892
MAE,test,0.6215923011119352
MAE,test,0.6440301206553178
MAE,test,0.6181069137104773
