metric,dataset,value
RMSE,train,0.37736234274289365
RMSE,train,0.38089048899764544
RMSE,train,0.3757430008847326
RMSE,train,0.3773946805777784
RMSE,train,0.37483399226378705
RMSE,train,0.375094029966227
RMSE,train,0.37819345278965605
RMSE,train,0.3781055118114208
RMSE,train,0.3766115344236993
RMSE,train,0.38052429845059665
RMSE,test,0.8757695490075563
RMSE,test,0.8337988696599283
RMSE,test,0.9286808340983983
RMSE,test,0.8817480932062559
RMSE,test,0.9346797672172604
RMSE,test,0.8687968069849438
RMSE,test,0.822943789261351
RMSE,test,0.8499727943562304
RMSE,test,0.8952442794999848
RMSE,test,0.8420607289116028
R2,train,0.8992189053021047
R2,train,0.8981378165321141
R2,train,0.8992074620666508
R2,train,0.8991975304178892
R2,train,0.9006428084738589
R2,train,0.8997738304771836
R2,train,0.8999464671865255
R2,train,0.8993989030844619
R2,train,0.8987136177441599
R2,train,0.8979241242382893
R2,test,0.4591672544882275
R2,test,0.471695552698586
R2,test,0.43352656006051704
R2,test,0.45323423930636664
R2,test,0.37577374851572976
R2,test,0.4983297202613469
R2,test,0.4678152418089109
R2,test,0.46431413649495756
R2,test,0.47810713159630003
R2,test,0.48289200776209784
MAE,train,0.2851489209254762
MAE,train,0.2876926439474255
MAE,train,0.2830573536753477
MAE,train,0.28605744869360294
MAE,train,0.2817310236119421
MAE,train,0.2828085987632549
MAE,train,0.28635225415398835
MAE,train,0.2862178958894286
MAE,train,0.2841392675957297
MAE,train,0.28481415979081653
MAE,test,0.6837249319446939
MAE,test,0.6415819905979293
MAE,test,0.7103491173880442
MAE,test,0.6761601521423884
MAE,test,0.7265812261399347
MAE,test,0.6871969630656748
MAE,test,0.6331925413362618
MAE,test,0.6706333551096882
MAE,test,0.7011715786829378
MAE,test,0.6689646543835671
