metric,dataset,value
RMSE,train,0.5397461922319915
RMSE,train,0.5497439003437157
RMSE,train,0.5385516012531345
RMSE,train,0.5445632438439396
RMSE,train,0.5402122406677726
RMSE,train,0.5399425653296931
RMSE,train,0.5487426271894807
RMSE,train,0.5451995623221273
RMSE,train,0.5383775856807251
RMSE,train,0.5341984880928131
RMSE,test,0.7884092799573725
RMSE,test,0.709704898475839
RMSE,test,0.7608751965000822
RMSE,test,0.8091718386858004
RMSE,test,0.7808773788816578
RMSE,test,0.8749489809644576
RMSE,test,0.7514062411989695
RMSE,test,0.7397620066448485
RMSE,test,0.8475342204097676
RMSE,test,0.7882181521600229
R2,train,0.7938225675969685
R2,train,0.7878057733759283
R2,train,0.7929376089759925
R2,train,0.7901174788255897
R2,train,0.7936282669287242
R2,train,0.7923193855800565
R2,train,0.7893595315653245
R2,train,0.7908356349518252
R2,train,0.7930155276782253
R2,train,0.7988298054983058
R2,test,0.5616845766405647
R2,test,0.617248176762129
R2,test,0.619746307209154
R2,test,0.5395380251818158
R2,test,0.5643055485269028
R2,test,0.4911996514545961
R2,test,0.5563181284059305
R2,test,0.5942260331381475
R2,test,0.5322511395851643
R2,test,0.5469070684007773
MAE,train,0.4131930932413686
MAE,train,0.42146281021652043
MAE,train,0.4141896647506486
MAE,train,0.4192737412359921
MAE,train,0.4140737847594311
MAE,train,0.41639985041934857
MAE,train,0.42569525128406965
MAE,train,0.4183652699513844
MAE,train,0.41724075088517837
MAE,train,0.41104914045597507
MAE,test,0.5837495023886008
MAE,test,0.5668333835845547
MAE,test,0.5771766214990722
MAE,test,0.6165721147428667
MAE,test,0.6101227705499955
MAE,test,0.6639254805727468
MAE,test,0.5539340231300767
MAE,test,0.5821933368081094
MAE,test,0.6327736393131722
MAE,test,0.6090806865120003
