metric,dataset,value
RMSE,train,0.47020780549799224
RMSE,train,0.48169834438183023
RMSE,train,0.47449378917482393
RMSE,train,0.4803390360765972
RMSE,train,0.4751861052563013
RMSE,train,0.47949731936324813
RMSE,train,0.4792784118991726
RMSE,train,0.4776313361953166
RMSE,train,0.47577145518226693
RMSE,train,0.47398634858972183
RMSE,test,0.8016347798275126
RMSE,test,0.7713285289645613
RMSE,test,0.8451787502112962
RMSE,test,0.7994105251153715
RMSE,test,0.8271403298317609
RMSE,test,0.8020420392950764
RMSE,test,0.7677633547022447
RMSE,test,0.766427146990023
RMSE,test,0.8062655314123743
RMSE,test,0.8122181532555021
R2,train,0.8435262031428548
R2,train,0.8370842650436489
R2,train,0.8392660394685457
R2,train,0.8367040597814503
R2,train,0.8403206205237473
R2,train,0.8362153503819731
R2,train,0.8393132190381121
R2,train,0.8394677386129262
R2,train,0.8383556274831927
R2,train,0.8416237724726635
R2,test,0.5468558263442747
R2,test,0.5478938110701932
R2,test,0.5308154256110202
R2,test,0.5505804339358942
R2,test,0.5111509914155536
R2,test,0.5724605384586765
R2,test,0.5367911513698728
R2,test,0.5644461132582083
R2,test,0.5766939841500578
R2,test,0.5188950708986926
MAE,train,0.35483243813873266
MAE,train,0.36093332208874845
MAE,train,0.356358346701385
MAE,train,0.35872935812908485
MAE,train,0.35525388867824986
MAE,train,0.3577491522872986
MAE,train,0.3599143205199554
MAE,train,0.3586969507933705
MAE,train,0.3582341352667131
MAE,train,0.35501199423151947
MAE,test,0.6155880955361894
MAE,test,0.5936207389855492
MAE,test,0.6451241404905915
MAE,test,0.615963871393885
MAE,test,0.642154754539047
MAE,test,0.628998158879506
MAE,test,0.5796306755114081
MAE,test,0.5827381033061825
MAE,test,0.6071299951749836
MAE,test,0.6139197151747168
