metric,dataset,value
RMSE,train,0.585519434880351
RMSE,train,0.5905723814957573
RMSE,train,0.593944594783268
RMSE,train,0.5728435956917094
RMSE,train,0.5941704567952778
RMSE,train,0.5946653777642272
RMSE,train,0.5919036783154255
RMSE,train,0.5925565836931166
RMSE,train,0.5834692222756176
RMSE,train,0.5880502188653467
RMSE,test,0.7828300979538262
RMSE,test,0.7322002411363041
RMSE,test,0.8541833809170198
RMSE,test,0.8460356766643465
RMSE,test,0.8076424215070107
RMSE,test,0.7764843679122322
RMSE,test,0.7480169735979415
RMSE,test,0.7823120387809479
RMSE,test,0.8285325907528077
RMSE,test,0.7751881610949154
R2,train,0.7573699529048653
R2,train,0.7551168005387788
R2,train,0.7481520324396838
R2,train,0.7677521258379678
R2,train,0.7503431547830728
R2,train,0.7480895771927667
R2,train,0.7549207778629811
R2,train,0.7529207040962573
R2,train,0.7568917317486745
R2,train,0.7562261262496417
R2,test,0.5678661094930444
R2,test,0.5925996500761281
R2,test,0.5207646765721645
R2,test,0.4966273596470846
R2,test,0.5339263076667935
R2,test,0.5992741352345946
R2,test,0.5603116145215807
R2,test,0.5462045235649917
R2,test,0.5529897870420896
R2,test,0.5617633595514068
MAE,train,0.45748069034375266
MAE,train,0.4628047776934358
MAE,train,0.4633874137744112
MAE,train,0.4459869007542818
MAE,train,0.4631309062934337
MAE,train,0.46353106305190256
MAE,train,0.4618967907736597
MAE,train,0.4627522490565735
MAE,train,0.45623472809982657
MAE,train,0.4574433695714008
MAE,test,0.5977393943301802
MAE,test,0.5642519505696638
MAE,test,0.6466982623530818
MAE,test,0.6511926875657269
MAE,test,0.6282771205178329
MAE,test,0.6099228181668629
MAE,test,0.5781666062631942
MAE,test,0.6196834191684224
MAE,test,0.6200333246076346
MAE,test,0.6105986765059068
