metric,dataset,value
RMSE,train,0.4339423408790442
RMSE,train,0.43987127188785907
RMSE,train,0.44382955030773863
RMSE,train,0.43339573116781427
RMSE,train,0.4414739326681244
RMSE,train,0.4373987664793544
RMSE,train,0.443729984583113
RMSE,train,0.44113739331973495
RMSE,train,0.43921206577938465
RMSE,train,0.4414939567674419
RMSE,test,0.88304697607512
RMSE,test,0.8587692472254016
RMSE,test,0.9650077830158893
RMSE,test,0.9015818439552984
RMSE,test,0.9385991514933312
RMSE,test,0.9099708809568519
RMSE,test,0.8075300297933778
RMSE,test,0.8600228045433596
RMSE,test,0.8903422149998258
RMSE,test,0.8503911322147248
R2,train,0.8667319609512713
R2,train,0.8641486611862942
R2,train,0.8593696653272798
R2,train,0.86706207922534
R2,train,0.8621738894503661
R2,train,0.8637125277471878
R2,train,0.8622657435224268
R2,train,0.8630618536673929
R2,train,0.8622434207319714
R2,train,0.8625933178140605
R2,test,0.45014153780394195
R2,test,0.43957870387478104
R2,test,0.3883426221367371
R2,test,0.42836005753886475
R2,test,0.3705276476433257
R2,test,0.4496525848148841
R2,test,0.48756421386808657
R2,test,0.45157143147012824
R2,test,0.4838069125639345
R2,test,0.47261002728020995
MAE,train,0.32790895305318085
MAE,train,0.33465898708384095
MAE,train,0.33592997786790035
MAE,train,0.3288621268175211
MAE,train,0.3347983092878648
MAE,train,0.32918778554101824
MAE,train,0.33703753638011985
MAE,train,0.33593703595841473
MAE,train,0.3330955162672569
MAE,train,0.3340557053726189
MAE,test,0.6629724672304733
MAE,test,0.6584361324037824
MAE,test,0.7298553131674018
MAE,test,0.6692725399996553
MAE,test,0.7128698136159352
MAE,test,0.6995303981044573
MAE,test,0.6126546506703241
MAE,test,0.6563834517498242
MAE,test,0.6786479780295688
MAE,test,0.669552424425382
