metric,dataset,value
RMSE,train,0.8450680959658413
RMSE,train,0.8383442876709135
RMSE,train,0.8456346383088066
RMSE,train,0.8407387139528717
RMSE,train,0.8465569719583004
RMSE,train,0.8470882261339312
RMSE,train,0.8468265160390281
RMSE,train,0.8499156533620312
RMSE,train,0.8405519414135847
RMSE,train,0.843105281451264
RMSE,test,1.0094782343594157
RMSE,test,1.0079030364480333
RMSE,test,1.0149990142769854
RMSE,test,1.0215820106124784
RMSE,test,1.0311107390272864
RMSE,test,1.025134041359637
RMSE,test,0.9372199978363528
RMSE,test,0.9789162278835764
RMSE,test,1.057844026043134
RMSE,test,1.0380381822817677
R2,train,0.4945882148464946
R2,train,0.5065336492479537
R2,train,0.489480765291583
R2,train,0.49973316162511905
R2,train,0.4932033312232491
R2,train,0.48883851912164233
R2,train,0.4983586682555713
R2,train,0.49169034910177045
R2,train,0.49546309758561513
R2,train,0.49890283411235004
R2,test,0.28141653987708404
R2,test,0.22803222827261116
R2,test,0.3233285900819176
R2,test,0.26606309594647104
R2,test,0.24032652029536028
R2,test,0.3015372471148765
R2,test,0.3097519606447292
R2,test,0.28945564841427307
R2,test,0.27131214918173374
R2,test,0.21418361542294795
MAE,train,0.6544163591511465
MAE,train,0.653218987326151
MAE,train,0.6584733826879098
MAE,train,0.6532873845715401
MAE,train,0.6595168732752482
MAE,train,0.6576013520342113
MAE,train,0.6604675347682678
MAE,train,0.6592473781519158
MAE,train,0.6542340339620596
MAE,train,0.651616988579967
MAE,test,0.7968260502142565
MAE,test,0.7760363483497076
MAE,test,0.7946832665784018
MAE,test,0.7928554277624403
MAE,test,0.7923104664785521
MAE,test,0.8193392743780825
MAE,test,0.7193084734678268
MAE,test,0.7728077103244542
MAE,test,0.8424538335485923
MAE,test,0.8189806574805076
