metric,dataset,value
RMSE,train,0.5593785347235548
RMSE,train,0.5514754010851476
RMSE,train,0.5564921906565975
RMSE,train,0.5586183147978394
RMSE,train,0.565620471876649
RMSE,train,0.5495414816328438
RMSE,train,0.549274599251013
RMSE,train,0.5713756648902888
RMSE,train,0.552168357990281
RMSE,train,0.5594983411642984
RMSE,test,0.8887256216286272
RMSE,test,0.8621000076729799
RMSE,test,0.9009100965374008
RMSE,test,0.8854942271083425
RMSE,test,0.9204880267269767
RMSE,test,0.9134231529071759
RMSE,test,0.8847004545392052
RMSE,test,0.8551027135274969
RMSE,test,0.9244378238503506
RMSE,test,0.8907094671218605
R2,train,0.7785510902371806
R2,train,0.7864669933587956
R2,train,0.7789122244817874
R2,train,0.7791436126698699
R2,train,0.77375884483339
R2,train,0.7848695976668326
R2,train,0.7889509277725686
R2,train,0.7702686954101332
R2,train,0.7822757230684894
R2,train,0.7793235782782686
R2,test,0.4430468050600975
R2,test,0.4352230542526899
R2,test,0.46689900303236176
R2,test,0.448578467864411
R2,test,0.394585758587893
R2,test,0.4454688180090197
R2,test,0.384944099783897
R2,test,0.45782847506169555
R2,test,0.4435147389181562
R2,test,0.42141581372014436
MAE,train,0.43894413610102995
MAE,train,0.4337028461843788
MAE,train,0.4380091380255123
MAE,train,0.4367579828886188
MAE,train,0.4432027982525729
MAE,train,0.4317691944119889
MAE,train,0.4334295220843718
MAE,train,0.44649607459442586
MAE,train,0.43473716898784587
MAE,train,0.4375532582017903
MAE,test,0.6854673976958863
MAE,test,0.661781853887013
MAE,test,0.6818897965107645
MAE,test,0.6817954226549182
MAE,test,0.7209475746509486
MAE,test,0.7159447448625946
MAE,test,0.6731410984161248
MAE,test,0.6945031744743402
MAE,test,0.7310381719376091
MAE,test,0.7000463740369651
