metric,dataset,value
RMSE,train,0.6849805477878191
RMSE,train,0.693317614244454
RMSE,train,0.6918419564540335
RMSE,train,0.6830507575684134
RMSE,train,0.6807086695239205
RMSE,train,0.6815541690957002
RMSE,train,0.6822430026158425
RMSE,train,0.6974273949012525
RMSE,train,0.6757430700351968
RMSE,train,0.6798639720924897
RMSE,test,0.9602479564298724
RMSE,test,0.9791615273908388
RMSE,test,1.003303359928076
RMSE,test,0.974376986037278
RMSE,test,1.0190664558579903
RMSE,test,0.9557940352737622
RMSE,test,0.8881365488953465
RMSE,test,0.893097939980042
RMSE,test,1.0281160023087126
RMSE,test,0.9764040883153611
R2,train,0.6679385732998211
R2,train,0.6624973458280473
R2,train,0.6582878870886111
R2,train,0.6697935304273396
R2,train,0.6723245280010526
R2,train,0.6690963281706176
R2,train,0.6744013499293235
R2,train,0.6577253741681388
R2,train,0.6739178494884013
R2,train,0.6741615123503056
R2,test,0.3497953351615438
R2,test,0.2714315765484474
R2,test,0.3388330749797316
R2,test,0.33232319725120774
R2,test,0.2579701811470856
R2,test,0.39282962594188264
R2,test,0.38015718190230985
R2,test,0.40857686290759876
R2,test,0.3116925173471067
R2,test,0.30472982295606355
MAE,train,0.5433728590056845
MAE,train,0.5493345322461032
MAE,train,0.5462523262303068
MAE,train,0.5379966011548412
MAE,train,0.5402750380922535
MAE,train,0.5375246723882146
MAE,train,0.5399004350975629
MAE,train,0.5497998954792307
MAE,train,0.5337237538658236
MAE,train,0.5367140868286504
MAE,test,0.7532879690119199
MAE,test,0.7554057643524238
MAE,test,0.7825715103658182
MAE,test,0.772141657963821
MAE,test,0.8089470055052213
MAE,test,0.7610573009928865
MAE,test,0.6849031049952466
MAE,test,0.7268057624897506
MAE,test,0.8136133663569788
MAE,test,0.7688048973039092
