metric,dataset,value
RMSE,train,1.3520553200170449
RMSE,train,1.353073493934008
RMSE,train,1.362890063316071
RMSE,train,1.355794928868564
RMSE,train,1.3574759206486313
RMSE,train,1.377187450099496
RMSE,train,1.3139894183763214
RMSE,train,1.3501708786306434
RMSE,train,1.388059638219188
RMSE,train,1.373400732250544
RMSE,test,2.10634195626965
RMSE,test,1.8221174644312559
RMSE,test,1.9646909304114935
RMSE,test,1.9634061967554217
RMSE,test,2.073536188675119
RMSE,test,2.0768703983158963
RMSE,test,2.0600490747611158
RMSE,test,1.8870295961949664
RMSE,test,1.8424343115857522
RMSE,test,1.9495068253584982
R2,train,0.8408901530551847
R2,train,0.8404641168607985
R2,train,0.839934659809642
R2,train,0.8411921765085382
R2,train,0.8393182233780827
R2,train,0.8344198130817242
R2,train,0.8477379602909796
R2,train,0.8400632704422551
R2,train,0.8288672701997066
R2,train,0.8356738391360934
R2,test,0.6005623657616799
R2,test,0.7051979877963357
R2,test,0.6182133162705092
R2,test,0.6259781534549327
R2,test,0.6202202583481708
R2,test,0.614153823058416
R2,test,0.6552734805463678
R2,test,0.7022213779484374
R2,test,0.7404146041037951
R2,test,0.6613813738858543
MAE,train,1.0207906376573188
MAE,train,1.0294047881273887
MAE,train,1.0238023963956369
MAE,train,1.0227683634802447
MAE,train,1.0304850812354893
MAE,train,1.044454446404284
MAE,train,1.0034762355909044
MAE,train,1.0190580072048738
MAE,train,1.0557347855524324
MAE,train,1.042062226948924
MAE,test,1.5808986026075222
MAE,test,1.3573105620717507
MAE,test,1.504575840166872
MAE,test,1.5109023632642304
MAE,test,1.5582503275748012
MAE,test,1.4369262241464658
MAE,test,1.4951669786429442
MAE,test,1.4275202439104493
MAE,test,1.4740062510624337
MAE,test,1.4923463866969149
