metric,dataset,value
RMSE,train,1.1209513782274996
RMSE,train,1.1390614690752285
RMSE,train,1.1515159505096635
RMSE,train,1.15294788469771
RMSE,train,1.1662381444306682
RMSE,train,1.1461220160001802
RMSE,train,1.1443880925377778
RMSE,train,1.176997970422591
RMSE,train,1.1537285353952786
RMSE,train,1.1825478797574973
RMSE,test,2.0401515171193716
RMSE,test,1.7944156888821947
RMSE,test,1.9657857815059319
RMSE,test,1.8695712006388248
RMSE,test,1.8570669927222931
RMSE,test,1.910271680722491
RMSE,test,1.9767334659711084
RMSE,test,1.7422675112565282
RMSE,test,1.8570856778635927
RMSE,test,1.813240987319416
R2,train,0.8906341617914131
R2,train,0.8869397528952196
R2,train,0.885734383315822
R2,train,0.8851573416132232
R2,train,0.8814021436033285
R2,train,0.8853209819338763
R2,train,0.8845072910219577
R2,train,0.8784591789371826
R2,train,0.8817709787327124
R2,train,0.8781712951499483
R2,test,0.6252720657431612
R2,test,0.7140936392643285
R2,test,0.6177876859282898
R2,test,0.6608743226510692
R2,test,0.695376293585855
R2,test,0.6735732931722713
R2,test,0.6825935178995467
R2,test,0.7461566626030153
R2,test,0.7362696499255534
R2,test,0.7070642487575165
MAE,train,0.8304035538475546
MAE,train,0.8524888428685923
MAE,train,0.8551469300554844
MAE,train,0.8602420647964543
MAE,train,0.8794669753503555
MAE,train,0.8439956964490781
MAE,train,0.8505819875287747
MAE,train,0.8766434818481312
MAE,train,0.8556776299168253
MAE,train,0.8766612618758294
MAE,test,1.4520424402218621
MAE,test,1.2650817727898842
MAE,test,1.5020689949597887
MAE,test,1.3634493560378957
MAE,test,1.3444827003312478
MAE,test,1.3372934093565474
MAE,test,1.3956739808922525
MAE,test,1.2705410248941706
MAE,test,1.4459814221452176
MAE,test,1.3902041309294824
